#FLD1,FLD2 - Fluid names as inputs for REFPROP,,,,,,,,,,,,,,
#z_1,z_2 - mole fractions, T - Absolute temperature in Kelvins, p - Pressure in megapascals (MPa), w - Speed of sound in meters per second (m.s^-1),,,,,,,,,,,
# Uc(w) - Combined expanded uncertainty (k=2) of the speed of sound as a percentage of the measured value,,,,,,,,,,,,,,,
#sigma_T, sigma_p, and sigma_w - Standard deviation of the temperature, pressure, and speed of sound for the duration of each measurement,,,,,,,,,,,
#N_temp - number of temperatures averaged, N_echos - number of speed of sound repetitions averaged,,,,,,,,,,,,,,
FLD1,FLD2,z_1 / mole frac.,z_2 / mole frac.,T / K,p / MPa,w / m/s,Uc(w) / %,sigma_T / K,sigma_p / MPa,sigma_w / m s^-1,N_temp,N_echo,bibkey,weight,p / Pa
R32,R1234YF,0.33806,0.66194,269.991,4.686,621.848,0.055,0.001,0.002,0.015,16,12,2022 row per 0,1,4686000
R32,R1234YF,0.33806,0.66194,274.995,7.986,628.325,0.053,0,0.001,0.009,16,12,2022 row per 0,1,7986000
R32,R1234YF,0.33806,0.66194,229.996,0.157,772.248,0.043,0.005,0.045,0.292,16,12,2022 row per 0,1,157000
R32,R1234YF,0.33806,0.66194,235.005,0.904,753.729,0.043,0.001,0.002,0.021,16,12,2022 row per 0,1,904000
R32,R1234YF,0.33806,0.66194,240.003,1.027,730.833,0.045,0.001,0.001,0.007,16,12,2022 row per 0,1,1027000
R32,R1234YF,0.33806,0.66194,245.002,1.062,707.392,0.047,0.001,0.001,0.065,16,12,2022 row per 0,1,1062000
R32,R1234YF,0.33806,0.66194,250.004,1.097,683.856,0.049,0.001,0.001,0.008,16,12,2022 row per 0,1,1097000
R32,R1234YF,0.33806,0.66194,254.995,1.126,660.441,0.051,0.002,0.001,0.011,16,12,2022 row per 0,1,1126000
R32,R1234YF,0.33806,0.66194,259.988,1.146,636.899,0.054,0.001,0.001,0.004,16,12,2022 row per 0,1,1146000
R32,R1234YF,0.33806,0.66194,269.993,4.789,622.773,0.055,0.002,0.001,0.011,16,12,2022 row per 0,1,4789000
R32,R1234YF,0.33806,0.66194,275.017,8.11,629.332,0.052,0.003,0.001,0.004,4,3,2022 row per 0,1,8110000
R32,R1234YF,0.33806,0.66194,280,11.399,635.729,0.051,0.002,0.014,0.099,16,12,2022 row per 0,1,11399000
R32,R1234YF,0.33806,0.66194,274.994,4.259,595.737,0.059,0.001,0.004,0.037,16,12,2022 row per 0,1,4259000
R32,R1234YF,0.33806,0.66194,280,7.402,602.479,0.056,0.001,0.001,0.007,16,12,2022 row per 0,1,7402000
R32,R1234YF,0.33806,0.66194,285,10.562,609.338,0.054,0.001,0.001,0.004,16,12,2022 row per 0,1,10562000
R32,R1234YF,0.33806,0.66194,269.99,1.111,588.858,0.062,0.002,0,0.004,16,12,2022 row per 0,1,1111000
R32,R1234YF,0.33806,0.66194,274.993,1.141,564.989,0.067,0.002,0,0.003,14,10,2022 row per 0,1,1141000
R32,R1234YF,0.33806,0.66194,279.999,4.131,571.994,0.063,0.003,0.001,0.006,16,12,2022 row per 0,1,4131000
R32,R1234YF,0.33806,0.66194,285,7.144,579.148,0.06,0.002,0.001,0.005,13,9,2022 row per 0,1,7144000
R32,R1234YF,0.33806,0.66194,290.002,10.167,586.294,0.057,0.002,0.001,0.01,13,9,2022 row per 0,1,10167000
R32,R1234YF,0.33806,0.66194,279.997,1.348,542.883,0.072,0.001,0,0.003,15,11,2022 row per 0,1,1348000
R32,R1234YF,0.33806,0.66194,284.999,4.197,550.116,0.068,0.001,0.011,0.103,16,12,2022 row per 0,1,4197000
R32,R1234YF,0.33806,0.66194,290.003,7.057,557.313,0.064,0.002,0.001,0.009,15,11,2022 row per 0,1,7057000
R32,R1234YF,0.33806,0.66194,285,1.499,520.129,0.079,0.001,0.001,0.007,16,12,2022 row per 0,1,1499000
R32,R1234YF,0.33806,0.66194,290.002,4.239,527.915,0.073,0.001,0.001,0.005,16,12,2022 row per 0,1,4239000
R32,R1234YF,0.33806,0.66194,294.998,6.987,535.596,0.069,0.002,0,0.004,12,8,2022 row per 0,1,6987000
R32,R1234YF,0.33806,0.66194,299.998,9.742,543.149,0.065,0.001,0.001,0.002,16,12,2022 row per 0,1,9742000
R32,R1234YF,0.33806,0.66194,290,1.545,495.93,0.087,0.001,0,0.001,16,12,2022 row per 0,1,1545000
R32,R1234YF,0.33806,0.66194,294.998,4.147,504.078,0.081,0.004,0.001,0.007,16,12,2022 row per 0,1,4147000
R32,R1234YF,0.33806,0.66194,300,6.763,512.088,0.075,0.001,0.001,0.012,13,9,2022 row per 0,1,6763000
R32,R1234YF,0.33806,0.66194,304.998,9.382,519.898,0.071,0.001,0.001,0.011,14,10,2022 row per 0,1,9382000
R32,R1234YF,0.33806,0.66194,294.996,1.578,471.201,0.098,0.001,0.001,0.013,10,7,2022 row per 0,1,1578000
R32,R1234YF,0.33806,0.66194,299.998,4.045,479.738,0.09,0.001,0.001,0.006,16,12,2022 row per 0,1,4045000
R32,R1234YF,0.33806,0.66194,304.997,6.522,488.049,0.083,0.001,0.001,0.01,13,9,2022 row per 0,1,6522000
R32,R1234YF,0.33806,0.66194,310,9.007,496.127,0.077,0.003,0.001,0.008,13,9,2022 row per 0,1,9007000
R32,R1234YF,0.33806,0.66194,299.997,1.775,448.414,0.109,0.002,0.001,0.015,9,5,2022 row per 0,1,1775000
R32,R1234YF,0.33806,0.66194,304.996,4.117,457.322,0.099,0.002,0,0.006,8,6,2022 row per 0,1,4117000
R32,R1234YF,0.33806,0.66194,310.001,6.471,465.951,0.091,0.002,0.001,0.008,14,10,2022 row per 0,1,6471000
R32,R1234YF,0.33806,0.66194,314.995,8.823,474.211,0.084,0.001,0.002,0.028,4,2,2022 row per 0,1,8823000
R32,R1234YF,0.33806,0.66194,304.994,1.992,425.717,0.123,0.004,0,0.005,12,8,2022 row per 0,1,1992000
R32,R1234YF,0.33806,0.66194,309.998,4.21,435.013,0.111,0.002,0.001,0.004,13,9,2022 row per 0,1,4210000
R32,R1234YF,0.33806,0.66194,314.994,6.432,443.866,0.101,0.002,0.001,0.011,12,8,2022 row per 0,1,6432000
R32,R1234YF,0.33806,0.66194,320.004,8.659,452.314,0.093,0.002,0.001,0.012,13,9,2022 row per 0,1,8659000
R32,R1234YF,0.33806,0.66194,309.997,1.679,393.182,0.151,0.001,0.001,0.024,11,8,2022 row per 0,1,1679000
R32,R1234YF,0.33806,0.66194,314.993,3.724,403.009,0.134,0.001,0,0.001,4,3,2022 row per 0,1,3724000
R32,R1234YF,0.33806,0.66194,320.004,5.784,412.347,0.12,0.003,0.001,0.018,8,5,2022 row per 0,1,5784000
R32,R1234YF,0.33806,0.66194,325.008,7.833,421.012,0.109,0.002,0.001,0.022,12,8,2022 row per 0,1,7833000
R32,R1234YF,0.33806,0.66194,314.993,2.135,373.869,0.17,0.003,0.001,0.019,15,11,2022 row per 0,1,2135000
R32,R1234YF,0.33806,0.66194,320.002,4.081,384.107,0.149,0.002,0.001,0.026,7,4,2022 row per 0,1,4081000
R32,R1234YF,0.33806,0.66194,325.007,6.029,393.611,0.133,0.003,0.001,0.018,9,6,2022 row per 0,1,6029000
R32,R1234YF,0.33806,0.66194,330,7.975,402.541,0.12,0.001,0,0.009,6,4,2022 row per 0,1,7975000
R32,R1234YF,0.33806,0.66194,320.001,2.038,342.393,0.217,0.001,0.001,0.327,7,4,2022 row per 0,1,2038000
R32,R1234YF,0.33806,0.66194,325.009,3.813,352.918,0.186,0.001,0,0.26,5,3,2022 row per 0,1,3813000
R32,R1234YF,0.33806,0.66194,330,5.595,362.747,0.163,0.001,0.001,0.245,15,11,2022 row per 0,1,5595000
