#FLD1,FLD2 - Fluid names as inputs for REFPROP,,,,,,,,,,,,,,
#z_1,z_2 - mole fractions, T - Absolute temperature in Kelvins, p - Pressure in megapascals (MPa), w - Speed of sound in meters per second (m.s^-1),,,,,,,,,,,
# Uc(w) - Combined expanded uncertainty (k=2) of the speed of sound as a percentage of the measured value,,,,,,,,,,,,,,,
#sigma_T, sigma_p, and sigma_w - Standard deviation of the temperature, pressure, and speed of sound for the duration of each measurement,,,,,,,,,,,
#N_temp - number of temperatures averaged, N_echos - number of speed of sound repetitions averaged,,,,,,,,,,,,,,
FLD1,FLD2,z_1 / mole frac.,z_2 / mole frac.,T / K,p / MPa,w / m/s,Uc(w) / %,sigma_T / K,sigma_p / MPa,sigma_w / m s^-1,N_temp,N_echo,bibkey,weight,p / Pa
R32,R1234YF,0.33806,0.66194,335.004,7.367,371.966,0.145,0.001,0.001,0.031,14,10,2022 row per 0,1,7367000
R32,R1234YF,0.33806,0.66194,325.006,2.302,317.938,0.267,0.002,0,0.204,6,3,2022 row per 0,1,2302000
R32,R1234YF,0.33806,0.66194,329.998,3.947,328.835,0.223,0,0,0.269,3,2,2022 row per 0,1,3947000
R32,R1234YF,0.33806,0.66194,335.003,5.591,338.728,0.193,0.001,0.001,0.188,14,10,2022 row per 0,1,5591000
R32,R1234YF,0.33806,0.66194,340.007,7.251,348.351,0.169,0.001,0,0.305,12,8,2022 row per 0,1,7251000
R32,R1234YF,0.33806,0.66194,329.996,2.791,298.817,0.312,0.001,0,0,2,1,2022 row per 0,1,2791000
R32,R1234YF,0.33806,0.66194,340.007,5.878,320.913,0.217,0.002,0.001,0.225,6,3,2022 row per 0,1,5878000
R32,R1234YF,0.33806,0.66194,345.013,7.435,330.251,0.189,0.001,0,0.195,6,4,2022 row per 0,1,7435000
R32,R1234YF,0.33806,0.66194,340.006,4.249,278.741,0.344,0.001,0,0,2,1,2022 row per 0,1,4249000
R32,R1234YF,0.33806,0.66194,345.012,5.646,289.915,0.282,0.001,0,0,2,1,2022 row per 0,1,5646000
R32,R1234YF,0.67205,0.32795,229.999,1.345,829.682,0.04,0.001,0.004,0.052,16,12,2022 row per 0,1,1345000
R32,R1234YF,0.67205,0.32795,235.011,1.386,804.713,0.041,0.001,0.001,0.009,16,12,2022 row per 0,1,1386000
R32,R1234YF,0.67205,0.32795,240.004,1.42,779.921,0.042,0.001,0.001,0.008,16,12,2022 row per 0,1,1420000
R32,R1234YF,0.67205,0.32795,245.007,1.446,754.976,0.044,0.002,0.001,0.015,16,12,2022 row per 0,1,1446000
R32,R1234YF,0.67205,0.32795,250.006,2.723,739.49,0.045,0.001,0.002,0.014,16,12,2022 row per 0,1,2723000
R32,R1234YF,0.67205,0.32795,254.999,7.035,746.53,0.043,0.001,0.001,0.009,16,12,2022 row per 0,1,7035000
R32,R1234YF,0.67205,0.32795,259.993,11.378,753.767,0.042,0.001,0.001,0.008,16,12,2022 row per 0,1,11378000
R32,R1234YF,0.67205,0.32795,259.993,1.681,681.283,0.051,0.002,0.003,0.028,16,12,2022 row per 0,1,1681000
R32,R1234YF,0.67205,0.32795,264.996,5.551,688.517,0.048,0.001,0.003,0.027,16,12,2022 row per 0,1,5551000
R32,R1234YF,0.67205,0.32795,269.992,9.492,696.262,0.047,0,0.001,0.005,16,12,2022 row per 0,1,9492000
R32,R1234YF,0.67205,0.32795,269.992,1.591,629.084,0.058,0.001,0.001,0.006,16,12,2022 row per 0,1,1591000
R32,R1234YF,0.67205,0.32795,274.995,5.181,637.501,0.055,0.001,0.001,0.01,16,12,2022 row per 0,1,5181000
R32,R1234YF,0.67205,0.32795,279.999,8.792,645.87,0.052,0.001,0,0.003,16,12,2022 row per 0,1,8792000
R32,R1234YF,0.67205,0.32795,285.001,12.455,654.438,0.05,0.001,0.008,0.074,16,12,2022 row per 0,1,12455000
R32,R1234YF,0.67205,0.32795,285.001,1.686,550.485,0.075,0.001,0.001,0.013,16,12,2022 row per 0,1,1686000
R32,R1234YF,0.67205,0.32795,290.003,4.764,559.821,0.069,0.001,0.001,0.008,14,10,2022 row per 0,1,4764000
R32,R1234YF,0.67205,0.32795,294.998,7.857,568.945,0.065,0.001,0.001,0.007,16,12,2022 row per 0,1,7857000
R32,R1234YF,0.67205,0.32795,299.997,10.954,577.746,0.061,0.002,0.009,0.076,14,10,2022 row per 0,1,10954000
R32,R1234YF,0.67205,0.32795,294.995,1.579,493.04,0.097,0.002,0.001,0.016,12,8,2022 row per 0,1,1579000
R32,R1234YF,0.67205,0.32795,299.999,4.325,503.42,0.088,0.001,0.001,0.01,16,12,2022 row per 0,1,4325000
R32,R1234YF,0.67205,0.32795,304.998,7.081,513.318,0.08,0.001,0.001,0.007,13,9,2022 row per 0,1,7081000
R32,R1234YF,0.67205,0.32795,310,9.848,522.787,0.074,0.001,0.002,0.02,15,11,2022 row per 0,1,9848000
R32,R1234YF,0.67205,0.32795,304.996,2.008,440.253,0.128,0.001,0.001,0.008,15,11,2022 row per 0,1,2008000
R32,R1234YF,0.67205,0.32795,309.999,4.436,451.45,0.113,0.001,0.001,0.01,11,7,2022 row per 0,1,4436000
R32,R1234YF,0.67205,0.32795,314.995,6.871,461.93,0.101,0.002,0.002,0.019,15,11,2022 row per 0,1,6871000
R32,R1234YF,0.67205,0.32795,320.004,9.318,471.814,0.092,0.002,0,0.003,9,6,2022 row per 0,1,9318000
R32,R1234YF,0.67205,0.32795,314.993,2.349,382.51,0.187,0.001,0.001,0.017,10,7,2022 row per 0,1,2349000
R32,R1234YF,0.67205,0.32795,320.003,4.437,394.594,0.159,0.002,0,0.009,13,9,2022 row per 0,1,4437000
R32,R1234YF,0.67205,0.32795,325.009,6.537,405.731,0.138,0.001,0.001,0.009,11,7,2022 row per 0,1,6537000
R32,R1234YF,0.67205,0.32795,330.001,8.642,416.062,0.122,0.002,0.001,0.021,14,10,2022 row per 0,1,8642000
R32,R1234ZEE,0.33512,0.66488,229.999,0.729,855.632,0.038,0.005,0,0.005,16,12,2022 row per 0,4,729000
R32,R1234ZEE,0.33512,0.66488,235.008,0.822,832.21,0.039,0.003,0.005,0.008,16,12,2022 row per 0,4,822000
R32,R1234ZEE,0.33512,0.66488,240.002,0.89,808.797,0.04,0.002,0.001,0.014,16,12,2022 row per 0,4,890000
R32,R1234ZEE,0.33512,0.66488,245.004,0.903,785.053,0.041,0.001,0.001,0.014,16,12,2022 row per 0,1,903000
R32,R1234ZEE,0.33512,0.66488,250.004,0.944,761.518,0.042,0.001,0.002,0.041,16,12,2022 row per 0,1,944000
R32,R1234ZEE,0.33512,0.66488,254.994,2.281,747.196,0.043,0.001,0.002,0.007,16,12,2022 row per 0,1,2281000
R32,R1234ZEE,0.33512,0.66488,259.986,6.695,754.216,0.042,0.002,0.001,0.007,16,12,2022 row per 0,1,6695000
R32,R1234ZEE,0.33512,0.66488,264.995,11.03,760.664,0.041,0.001,0.004,0.026,16,12,2022 row per 0,1,11030000
R32,R1234ZEE,0.33512,0.66488,269.992,15.206,766.32,0.04,0,0.002,0.01,16,12,2022 row per 0,1,15206000
R32,R1234ZEE,0.33512,0.66488,274.995,19.606,773.233,0.039,0,0.001,0.007,16,12,2022 row per 0,1,19606000
R32,R1234ZEE,0.33512,0.66488,279.999,23.977,779.964,0.039,0.001,0.001,0.008,16,12,2022 row per 0,1,23977000
R32,R1234ZEE,0.33512,0.66488,285.001,28.322,786.577,0.038,0.001,0.001,0.006,16,12,2022 row per 0,1,28322000
R32,R1234ZEE,0.33512,0.66488,290.002,32.647,793.074,0.037,0.001,0.001,0.007,16,12,2022 row per 0,1,32647000
R32,R1234ZEE,0.33512,0.66488,294.997,36.922,799.332,0.037,0.001,0.001,0.007,16,12,2022 row per 0,1,36922000
R32,R1234ZEE,0.33512,0.66488,299.998,41.163,805.409,0.037,0.001,0.001,0.004,16,12,2022 row per 0,1,41163000
R32,R1234ZEE,0.33512,0.66488,304.997,45.374,811.363,0.036,0.001,0.002,0.005,16,12,2022 row per 0,1,45374000
R32,R1234ZEE,0.33512,0.66488,309.999,49.585,817.304,0.036,0.001,0.003,0.019,16,12,2022 row per 0,1,49585000
R32,R1234ZEE,0.33512,0.66488,254.99,1.326,740.644,0.044,0.001,0.001,0.008,16,12,2022 row per 0,1,1326000
R32,R1234ZEE,0.33512,0.66488,259.984,5.687,747.623,0.042,0.001,0.001,0.004,16,12,2022 row per 0,1,5687000
R32,R1234ZEE,0.33512,0.66488,264.993,10.027,754.368,0.041,0.002,0.002,0.014,16,12,2022 row per 0,1,10027000
R32,R1234ZEE,0.33512,0.66488,269.99,14.387,761.298,0.04,0.002,0.001,0.004,16,12,2022 row per 0,1,14387000
R32,R1234ZEE,0.33512,0.66488,274.993,18.727,768.083,0.04,0.001,0.001,0.008,16,12,2022 row per 0,1,18727000
R32,R1234ZEE,0.33512,0.66488,279.998,23.057,774.792,0.039,0.001,0.001,0.005,16,12,2022 row per 0,1,23057000
R32,R1234ZEE,0.33512,0.66488,285,27.359,781.356,0.038,0.001,0.003,0.013,16,12,2022 row per 0,1,27359000
R32,R1234ZEE,0.33512,0.66488,290.001,31.625,787.722,0.038,0.001,0.003,0.014,16,12,2022 row per 0,1,31625000
R32,R1234ZEE,0.33512,0.66488,294.997,35.869,793.977,0.037,0.001,0.006,0.015,16,12,2022 row per 0,1,35869000
R32,R1234ZEE,0.33512,0.66488,299.998,40.103,800.174,0.037,0.001,0.001,0.004,16,12,2022 row per 0,1,40103000
R32,R1234ZEE,0.33512,0.66488,304.997,44.287,806.151,0.036,0.001,0.002,0.01,16,12,2022 row per 0,1,44287000
R32,R1234ZEE,0.33512,0.66488,309.999,48.432,811.955,0.036,0.001,0.002,0.013,16,12,2022 row per 0,1,48432000
R32,R1234ZEE,0.33512,0.66488,314.994,52.534,817.598,0.036,0.001,0.002,0.013,16,12,2022 row per 0,1,52534000
R32,R1234ZEE,0.33512,0.66488,259.982,1.539,718.551,0.045,0.001,0.001,0.006,16,12,2022 row per 0,1,1539000
R32,R1234ZEE,0.33512,0.66488,264.992,5.639,725.023,0.044,0.001,0.002,0.003,16,12,2022 row per 0,1,5639000
R32,R1234ZEE,0.33512,0.66488,269.989,9.84,732.197,0.043,0.001,0.002,0.012,16,12,2022 row per 0,1,9840000
R32,R1234ZEE,0.33512,0.66488,274.993,14.051,739.376,0.042,0.001,0.002,0.017,16,12,2022 row per 0,1,14051000
R32,R1234ZEE,0.33512,0.66488,279.998,18.245,746.414,0.041,0.001,0.002,0.012,16,12,2022 row per 0,1,18245000
R32,R1234ZEE,0.33512,0.66488,284.999,22.415,753.285,0.04,0.001,0.001,0.004,16,12,2022 row per 0,1,22415000
R32,R1234ZEE,0.33512,0.66488,290.001,26.551,759.928,0.039,0.001,0.001,0.006,16,12,2022 row per 0,1,26551000
R32,R1234ZEE,0.33512,0.66488,294.997,30.662,766.439,0.038,0.001,0.001,0.007,16,12,2022 row per 0,1,30662000
R32,R1234ZEE,0.33512,0.66488,299.999,34.755,772.817,0.038,0.001,0.004,0.016,16,12,2022 row per 0,1,34755000
R32,R1234ZEE,0.33512,0.66488,304.996,38.832,779.12,0.037,0.002,0.002,0.009,16,12,2022 row per 0,1,38832000
R32,R1234ZEE,0.33512,0.66488,309.998,42.867,785.184,0.037,0.001,0.001,0.006,16,12,2022 row per 0,1,42867000
R32,R1234ZEE,0.33512,0.66488,314.994,46.864,791.089,0.037,0.001,0.001,0.004,16,12,2022 row per 0,1,46864000
R32,R1234ZEE,0.33512,0.66488,320.003,50.857,796.939,0.036,0.001,0.001,0.003,16,12,2022 row per 0,1,50857000
R32,R1234ZEE,0.33512,0.66488,264.991,1.351,693.403,0.048,0.003,0.002,0.012,16,12,2022 row per 0,1,1351000
R32,R1234ZEE,0.33512,0.66488,259.981,0.786,712.991,0.046,0.002,0.021,0.163,16,12,2022 row per 0,1,786000
R32,R1234ZEE,0.33512,0.66488,264.992,1.328,693.216,0.048,0.003,0.002,0.01,16,12,2022 row per 0,1,1328000
R32,R1234ZEE,0.33512,0.66488,269.989,5.366,700.772,0.046,0.001,0.002,0.01,16,12,2022 row per 0,1,5366000
R32,R1234ZEE,0.33512,0.66488,274.993,9.407,708.242,0.044,0.001,0.001,0.004,16,12,2022 row per 0,1,9407000
R32,R1234ZEE,0.33512,0.66488,279.998,13.444,715.612,0.043,0.001,0.002,0.015,16,12,2022 row per 0,1,13444000
R32,R1234ZEE,0.33512,0.66488,284.998,17.466,722.818,0.042,0.001,0.001,0.006,16,12,2022 row per 0,1,17466000
R32,R1234ZEE,0.33512,0.66488,290.001,21.478,729.897,0.041,0.001,0.001,0.005,16,12,2022 row per 0,1,21478000
R32,R1234ZEE,0.33512,0.66488,294.996,25.46,736.774,0.04,0.001,0.001,0.006,16,12,2022 row per 0,1,25460000
R32,R1234ZEE,0.33512,0.66488,299.999,29.475,743.73,0.04,0.002,0.015,0.083,16,12,2022 row per 0,1,29475000
R32,R1234ZEE,0.33512,0.66488,304.995,33.439,750.458,0.039,0.001,0.006,0.019,16,12,2022 row per 0,1,33439000
R32,R1234ZEE,0.33512,0.66488,309.999,37.348,756.8,0.038,0.001,0.002,0.01,16,12,2022 row per 0,1,37348000
R32,R1234ZEE,0.33512,0.66488,314.993,41.231,762.995,0.038,0.002,0.004,0.016,16,12,2022 row per 0,1,41231000
R32,R1234ZEE,0.33512,0.66488,320.004,45.09,769.005,0.037,0.001,0.005,0.018,16,12,2022 row per 0,1,45090000
R32,R1234ZEE,0.33512,0.66488,325.009,48.928,774.918,0.037,0.001,0.001,0.005,16,12,2022 row per 0,1,48928000
R32,R1234ZEE,0.33512,0.66488,269.987,1.384,669.87,0.05,0.003,0.003,0.028,16,12,2022 row per 0,1,1384000
R32,R1234ZEE,0.33512,0.66488,274.991,5.25,677.589,0.048,0.001,0.003,0.026,16,12,2022 row per 0,1,5250000
R32,R1234ZEE,0.33512,0.66488,279.997,9.103,685.086,0.046,0.002,0.003,0.024,16,12,2022 row per 0,1,9103000
R32,R1234ZEE,0.33512,0.66488,284.997,12.96,692.554,0.045,0.002,0.005,0.033,16,12,2022 row per 0,1,12960000
R32,R1234ZEE,0.33512,0.66488,290,16.788,699.715,0.044,0.001,0.002,0.013,16,12,2022 row per 0,1,16788000
R32,R1234ZEE,0.33512,0.66488,294.995,20.589,706.656,0.042,0.001,0.001,0.009,16,12,2022 row per 0,1,20589000
R32,R1234ZEE,0.33512,0.66488,299.995,24.349,713.307,0.042,0.002,0.009,0.068,16,12,2022 row per 0,1,24349000
R32,R1234ZEE,0.33512,0.66488,304.995,28.099,719.83,0.041,0.001,0.007,0.041,16,12,2022 row per 0,1,28099000
R32,R1234ZEE,0.33512,0.66488,310,31.864,726.389,0.04,0.001,0.013,0.068,16,12,2022 row per 0,1,31864000
R32,R1234ZEE,0.33512,0.66488,314.994,35.654,733.098,0.039,0.002,0.002,0.015,16,12,2022 row per 0,1,35654000
R32,R1234ZEE,0.33512,0.66488,320.001,39.39,739.428,0.039,0.007,0.004,0.016,16,12,2022 row per 0,1,39390000
R32,R1234ZEE,0.33512,0.66488,325.009,43.031,745.229,0.038,0.001,0.004,0.013,16,12,2022 row per 0,1,43031000
R32,R1234ZEE,0.33512,0.66488,329.999,46.706,751.239,0.038,0.001,0.002,0.01,16,12,2022 row per 0,1,46706000
R32,R1234ZEE,0.33512,0.66488,274.99,1.396,646.008,0.053,0.001,0.001,0.009,16,12,2022 row per 0,1,1396000
R32,R1234ZEE,0.33512,0.66488,279.995,5.106,654.063,0.051,0.001,0.002,0.008,16,12,2022 row per 0,1,5106000
R32,R1234ZEE,0.33512,0.66488,284.997,8.821,661.992,0.049,0.001,0.004,0.016,16,12,2022 row per 0,1,8821000
R32,R1234ZEE,0.33512,0.66488,289.999,12.525,669.678,0.047,0.001,0.001,0.009,16,12,2022 row per 0,1,12525000
R32,R1234ZEE,0.33512,0.66488,294.995,16.217,677.205,0.045,0.001,0.001,0.004,16,12,2022 row per 0,1,16217000
R32,R1234ZEE,0.33512,0.66488,299.997,19.911,684.591,0.044,0.001,0.002,0.012,16,12,2022 row per 0,1,19911000
R32,R1234ZEE,0.33512,0.66488,304.996,23.585,691.765,0.043,0.001,0.001,0.005,16,12,2022 row per 0,1,23585000
R32,R1234ZEE,0.33512,0.66488,309.997,27.232,698.693,0.042,0.002,0.005,0.018,16,12,2022 row per 0,1,27232000
R32,R1234ZEE,0.33512,0.66488,314.993,30.835,705.315,0.041,0.001,0.001,0.005,16,12,2022 row per 0,1,30835000
R32,R1234ZEE,0.33512,0.66488,320.003,34.442,711.86,0.04,0,0.001,0.005,16,12,2022 row per 0,1,34442000
R32,R1234ZEE,0.33512,0.66488,325.008,38.029,718.25,0.04,0.002,0.001,0.008,16,12,2022 row per 0,1,38029000
R32,R1234ZEE,0.33512,0.66488,330,41.582,724.455,0.039,0.001,0.001,0.006,16,12,2022 row per 0,1,41582000
R32,R1234ZEE,0.33512,0.66488,335.003,45.089,730.355,0.038,0.001,0.004,0.02,16,12,2022 row per 0,1,45089000
R32,R1234ZEE,0.33512,0.66488,279.993,1.419,622.115,0.057,0.001,0.007,0.047,16,12,2022 row per 0,1,1419000
R32,R1234ZEE,0.33512,0.66488,284.996,4.951,630.326,0.054,0.001,0.001,0.013,16,12,2022 row per 0,1,4951000
R32,R1234ZEE,0.33512,0.66488,289.999,8.496,638.392,0.051,0.001,0.003,0.018,16,12,2022 row per 0,1,8496000
R32,R1234ZEE,0.33512,0.66488,294.994,12.067,646.531,0.049,0.001,0.003,0.018,16,12,2022 row per 0,1,12067000
R32,R1234ZEE,0.33512,0.66488,299.996,15.604,654.206,0.047,0.002,0.001,0.009,16,12,2022 row per 0,1,15604000
R32,R1234ZEE,0.33512,0.66488,304.994,19.12,661.614,0.046,0.001,0.002,0.015,16,12,2022 row per 0,1,19120000
R32,R1234ZEE,0.33512,0.66488,309.997,22.618,668.783,0.044,0.001,0.003,0.017,16,12,2022 row per 0,1,22618000
R32,R1234ZEE,0.33512,0.66488,314.994,26.092,675.716,0.043,0.002,0.001,0.007,16,12,2022 row per 0,1,26092000
R32,R1234ZEE,0.33512,0.66488,320.002,29.565,682.529,0.042,0.002,0.001,0.005,16,12,2022 row per 0,1,29565000
R32,R1234ZEE,0.33512,0.66488,325.008,33.02,689.173,0.041,0.001,0.002,0.013,16,12,2022 row per 0,1,33020000
R32,R1234ZEE,0.33512,0.66488,329.999,36.445,695.625,0.041,0.002,0.001,0.005,16,12,2022 row per 0,1,36445000
R32,R1234ZEE,0.33512,0.66488,335.003,39.844,701.856,0.04,0.001,0.002,0.01,16,12,2022 row per 0,1,39844000
R32,R1234ZEE,0.33512,0.66488,340.008,43.231,707.957,0.039,0.002,0,0.002,16,12,2022 row per 0,1,43231000
R32,R1234ZEE,0.33512,0.66488,345.012,46.608,713.974,0.039,0.001,0.002,0.011,16,12,2022 row per 0,1,46608000
R32,R1234ZEE,0.33512,0.66488,284.994,1.301,596.717,0.061,0.001,0.001,0.006,16,12,2022 row per 0,1,1301000
R32,R1234ZEE,0.33512,0.66488,289.997,4.685,605.335,0.057,0.001,0.001,0.005,16,12,2022 row per 0,1,4685000
R32,R1234ZEE,0.33512,0.66488,294.993,8.073,613.748,0.054,0.001,0,0.004,16,12,2022 row per 0,1,8073000
R32,R1234ZEE,0.33512,0.66488,299.995,11.462,621.919,0.052,0.001,0.001,0.005,16,12,2022 row per 0,1,11462000
R32,R1234ZEE,0.33512,0.66488,304.994,14.835,629.782,0.05,0.001,0.001,0.007,16,12,2022 row per 0,1,14835000
R32,R1234ZEE,0.33512,0.66488,309.997,18.19,637.36,0.048,0.001,0.001,0.004,16,12,2022 row per 0,1,18190000
R32,R1234ZEE,0.33512,0.66488,314.992,21.543,644.771,0.047,0.001,0.001,0.012,16,12,2022 row per 0,1,21543000
R32,R1234ZEE,0.33512,0.66488,320.002,24.881,651.945,0.045,0.001,0.003,0.012,16,12,2022 row per 0,1,24881000
R32,R1234ZEE,0.33512,0.66488,325.007,28.196,658.865,0.044,0.001,0.001,0.002,16,12,2022 row per 0,1,28196000
