z_1 / mole frac.,z_2 / mole frac.,T / K,p / MPa,rho / kg/m^3,u(p) (kPa),Uc(r) (%),D(r) (%),FLD1,FLD2,skip,bibkey,weight,method,probable absorption
0.336808,0.663192,263.149,0.24378,11.1401,0.03,0.0401,-0.264859776,R32,R1234YF,,2023-for-mcl-0,1,,
0.336808,0.663192,263.148,0.25599,11.7449,0.03,0.0341,-0.276180867,R32,R1234YF,,2023-for-mcl-0,1,,
0.336808,0.663192,263.147,0.27939,12.9182,0.03,0.0342,-0.302529829,R32,R1234YF,,2023-for-mcl-0,1,,
0.336808,0.663192,263.148,0.29053,13.484,0.03,0.0315,-0.313107333,R32,R1234YF,,2023-for-mcl-0,1,,
0.336808,0.663192,253.144,0.06039,2.7225,0.03,0.11,-0.112893527,R32,R1234YF,,2023-for-mcl-0,1,,
0.336808,0.663192,253.144,0.09348,4.26,0.03,0.0741,-0.150828502,R32,R1234YF,,2023-for-mcl-0,1,,
0.336808,0.663192,253.142,0.10925,5.0046,0.03,0.0648,-0.177022923,R32,R1234YF,,2023-for-mcl-0,1,,
0.336808,0.663192,253.143,0.12454,5.7346,0.03,0.0645,-0.195915074,R32,R1234YF,,2023-for-mcl-0,1,,
0.336808,0.663192,253.146,0.15379,7.1539,0.03,0.0494,-0.226856672,R32,R1234YF,,2023-for-mcl-0,1,,
0.336808,0.663192,253.146,0.16776,7.8422,0.03,0.0448,-0.248507423,R32,R1234YF,,2023-for-mcl-0,1,,
0.336808,0.663192,253.144,0.18128,8.5159,0.03,0.0428,-0.263059854,R32,R1234YF,,2023-for-mcl-0,1,,
0.336808,0.663192,253.142,0.19437,9.1743,0.03,0.0407,-0.284691266,R32,R1234YF,,2023-for-mcl-0,1,,
0.336808,0.663192,230.122,1.22843,1273.4238,1.55,0.0224,-0.213237208,R32,R1234YF,,2023-for-mcl-0,1,,
0.336808,0.663192,240.122,1.54439,1246.3197,1.67,0.0224,-0.188712988,R32,R1234YF,,2023-for-mcl-0,1,,
0.336808,0.663192,240.12,1.53988,1246.3117,1.64,0.0223,-0.188743932,R32,R1234YF,,2023-for-mcl-0,1,,
0.336808,0.663192,240.119,1.5596,1246.3698,1.75,0.0225,-0.189003876,R32,R1234YF,,2023-for-mcl-0,1,,
0.336808,0.663192,240.121,1.55746,1246.3567,1.32,0.0219,-0.189083791,R32,R1234YF,,2023-for-mcl-0,1,,
0.336808,0.663192,240.122,1.554,1246.3441,1.79,0.0226,-0.189040778,R32,R1234YF,,2023-for-mcl-0,1,,
0.336808,0.663192,240.12,1.57036,1246.3953,3.72,0.0282,-0.18928504,R32,R1234YF,,2023-for-mcl-0,1,,
0.336808,0.663192,255.119,7.72139,1222.3594,5.22,0.034,-0.195539875,R32,R1234YF,,2023-for-mcl-0,1,,
0.336808,0.663192,255.124,6.36813,1218.2508,2.04,0.0226,-0.18145447,R32,R1234YF,,2023-for-mcl-0,1,,
0.336808,0.663192,255.123,5.04837,1214.1319,1.67,0.0222,-0.166716545,R32,R1234YF,,2023-for-mcl-0,1,,
0.336808,0.663192,255.121,2.67548,1206.373,1.31,0.0217,-0.137377092,R32,R1234YF,,2023-for-mcl-0,1,,
0.336808,0.663192,255.121,1.78781,1203.3372,1.22,0.0216,-0.125500427,R32,R1234YF,,2023-for-mcl-0,1,,
0.336808,0.663192,265.122,9.15096,1199.1624,1.67,0.022,-0.162822791,R32,R1234YF,,2023-for-mcl-0,1,,
0.336808,0.663192,265.123,6.64845,1190.7399,1.67,0.0221,-0.133530591,R32,R1234YF,,2023-for-mcl-0,1,,
0.336808,0.663192,265.126,4.40853,1182.6899,1.49,0.0218,-0.103562416,R32,R1234YF,,2023-for-mcl-0,1,,
0.336808,0.663192,265.125,3.35881,1178.7345,1.41,0.0217,-0.088286753,R32,R1234YF,,2023-for-mcl-0,1,,
0.336808,0.663192,265.125,2.36417,1174.8623,1.38,0.0217,-0.072708984,R32,R1234YF,,2023-for-mcl-0,1,,
0.336808,0.663192,275.124,9.18204,1171.0008,1.52,0.0218,-0.106016534,R32,R1234YF,,2023-for-mcl-0,1,,
0.336808,0.663192,275.124,6.99328,1162.6341,1.54,0.0218,-0.075910429,R32,R1234YF,,2023-for-mcl-0,1,,
0.336808,0.663192,275.126,4.99351,1154.4596,1.34,0.0215,-0.044551992,R32,R1234YF,,2023-for-mcl-0,1,,
0.336808,0.663192,275.123,3.16943,1146.4998,1.32,0.0215,-0.012472149,R32,R1234YF,,2023-for-mcl-0,1,,
0.336808,0.663192,275.124,2.31874,1142.588,1.25,0.0215,0.004076264,R32,R1234YF,,2023-for-mcl-0,1,,
0.336808,0.663192,285.126,8.53993,1138.943,1.12,0.0213,-0.027953197,R32,R1234YF,,2023-for-mcl-0,1,,
0.336808,0.663192,285.127,5.80215,1126.4747,1.28,0.0215,0.021309235,R32,R1234YF,,2023-for-mcl-0,1,,
0.336808,0.663192,285.126,4.15047,1118.2739,1.38,0.0215,0.055768502,R32,R1234YF,,2023-for-mcl-0,1,,
0.336808,0.663192,285.126,1.96006,1106.3967,1.4,0.0216,0.108726961,R32,R1234YF,,2023-for-mcl-0,1,,
0.336808,0.663192,295.13,7.57082,1103.0027,1.19,0.0214,0.074195716,R32,R1234YF,,2023-for-mcl-0,1,,
0.336808,0.663192,295.129,6.01075,1094.5445,1.24,0.0214,0.110382736,R32,R1234YF,,2023-for-mcl-0,1,,
0.336808,0.663192,295.129,3.9275,1082.1828,1.19,0.0214,0.166875929,R32,R1234YF,,2023-for-mcl-0,1,,
0.336808,0.663192,295.129,2.11048,1070.1454,1.23,0.0214,0.226509514,R32,R1234YF,,2023-for-mcl-0,1,,
0.336808,0.663192,310.135,9.70074,1065.69,1.16,0.0214,0.165003207,R32,R1234YF,,2023-for-mcl-0,1,,
0.336808,0.663192,310.136,7.66875,1052.7261,1.24,0.0215,0.223504489,R32,R1234YF,,2023-for-mcl-0,1,,
0.336808,0.663192,310.137,5.87736,1039.9565,1.2,0.0214,0.286119298,R32,R1234YF,,2023-for-mcl-0,1,,
0.336808,0.663192,310.136,3.82513,1023.2361,1.13,0.0213,0.374913955,R32,R1234YF,,2023-for-mcl-0,1,,
0.336808,0.663192,310.136,2.10488,1006.8168,1.13,0.0214,0.475733081,R32,R1234YF,,2023-for-mcl-0,1,,
0.336808,0.663192,325.145,8.40642,1003.0063,1.09,0.0215,0.371976107,R32,R1234YF,,2023-for-mcl-0,1,,
0.336808,0.663192,325.145,6.53579,985.6618,1.14,0.0215,0.46727605,R32,R1234YF,,2023-for-mcl-0,1,,
0.336808,0.663192,325.145,4.61593,964.3425,1.09,0.0214,0.600777787,R32,R1234YF,,2023-for-mcl-0,1,,
0.336808,0.663192,325.146,2.56825,934.9642,1.27,0.0216,0.834571328,R32,R1234YF,,2023-for-mcl-0,1,,
0.336808,0.663192,340.156,7.61585,931.6444,1.07,0.0216,0.64170059,R32,R1234YF,,2023-for-mcl-0,1,,
0.336808,0.663192,340.157,6.11777,909.8506,1.11,0.0217,0.801675412,R32,R1234YF,,2023-for-mcl-0,1,,
0.336808,0.663192,340.162,5.13621,892.4537,1.26,0.0218,0.954574171,R32,R1234YF,,2023-for-mcl-0,1,,
0.336808,0.663192,340.158,3.52661,853.8893,1.13,0.0217,1.421864102,R32,R1234YF,,2023-for-mcl-0,1,,
0.336808,0.663192,355.155,7.43872,851.0876,1.08,0.0219,0.990417882,R32,R1234YF,,2023-for-mcl-0,1,,
0.336808,0.663192,355.155,7.04028,842.1498,1.1,0.0219,1.072411849,R32,R1234YF,,2023-for-mcl-0,1,,
0.336808,0.663192,355.155,6.05555,815.8302,1.14,0.022,1.354650797,R32,R1234YF,,2023-for-mcl-0,1,,
0.336808,0.663192,355.155,5.02716,776.6264,1.12,0.022,1.912994362,R32,R1234YF,,2023-for-mcl-0,1,,
0.336808,0.663192,355.155,4.56952,750.5301,1.11,0.0221,2.43402932,R32,R1234YF,,2023-for-mcl-0,1,,
0.336808,0.663192,370.152,7.37771,747.2041,1.08,0.0223,1.538008375,R32,R1234YF,,2023-for-mcl-0,1,,
0.336808,0.663192,370.155,6.51648,703.6265,1.12,0.0224,2.071678936,R32,R1234YF,,2023-for-mcl-0,1,,
0.336808,0.663192,370.155,6.04657,668.316,1.1,0.0225,2.596220797,R32,R1234YF,,2023-for-mcl-0,1,,
0.336808,0.663192,370.155,5.54207,607.0303,1.09,0.0226,3.716294128,R32,R1234YF,,2023-for-mcl-0,1,,
0.336808,0.663192,370.156,5.03357,467.7219,1.09,0.0232,5.478081544,R32,R1234YF,,2023-for-mcl-0,1,,
0.336808,0.663192,400.151,7.53534,465.9422,1.09,0.0239,1.594399195,R32,R1234YF,,2023-for-mcl-0,1,,
0.336808,0.663192,400.156,6.50671,355.7464,1.09,0.026,1.006110541,R32,R1234YF,,2023-for-mcl-0,1,,
0.336808,0.663192,400.154,5.99545,303.5837,1.21,0.0405,0.735077378,R32,R1234YF,,2023-for-mcl-0,1,,
0.336808,0.663192,400.155,5.46993,256.0232,1.09,0.0267,0.499481519,R32,R1234YF,,2023-for-mcl-0,1,,
0.336808,0.663192,400.154,4.9779,217.4749,1.09,0.0283,0.327409581,R32,R1234YF,,2023-for-mcl-0,1,,
0.336808,0.663192,400.154,3.97503,153.5949,1.09,0.0329,0.051957091,R32,R1234YF,,2023-for-mcl-0,1,,
0.336808,0.663192,400.155,2.86317,98.9286,1.09,0.0429,-0.166679501,R32,R1234YF,,2023-for-mcl-0,1,,
0.336808,0.663192,400.155,1.86741,59.3386,1.1,0.0424,-0.264466754,R32,R1234YF,,2023-for-mcl-0,1,,
0.672054,0.327949,293.155,0.11747,3.5495,0.03,0.0878,-0.086275691,R32,R1234YF,,2023-for-mcl-0,1,,
0.672054,0.327949,293.155,0.21697,6.6594,0.03,0.0491,-0.153621347,R32,R1234YF,,2023-for-mcl-0,1,,
0.672054,0.327949,293.155,0.3043,9.4739,0.03,0.0433,-0.214750151,R32,R1234YF,,2023-for-mcl-0,1,,
0.672054,0.327949,293.157,0.41701,13.2349,0.03,0.0316,-0.293779611,R32,R1234YF,,2023-for-mcl-0,1,,
0.672054,0.327949,293.154,0.51137,16.5055,0.03,0.0296,-0.365765181,R32,R1234YF,,2023-for-mcl-0,1,,
0.672054,0.327949,293.152,0.60236,19.7762,0.03,0.0266,-0.434943256,R32,R1234YF,,2023-for-mcl-0,1,,
0.672054,0.327949,293.155,0.70499,23.6168,0.03,0.0255,-0.517752679,R32,R1234YF,,2023-for-mcl-0,1,,
0.672054,0.327949,293.155,0.80364,27.4791,0.03,0.0246,-0.601981782,R32,R1234YF,,2023-for-mcl-0,1,,
0.672054,0.327949,293.152,0.901,31.4764,0.04,0.0246,-0.692947828,R32,R1234YF,,2023-for-mcl-0,1,,
0.672054,0.327949,293.155,0.97785,34.779,0.04,0.0246,-0.766677919,R32,R1234YF,,2023-for-mcl-0,1,,
0.672054,0.327949,283.152,0.08183,2.5505,0.03,0.1295,-0.061988604,R32,R1234YF,,2023-for-mcl-0,1,,
0.672054,0.327949,283.153,0.18009,5.7117,0.03,0.0576,-0.138139007,R32,R1234YF,,2023-for-mcl-0,1,,
0.672054,0.327949,283.151,0.26655,8.5898,0.03,0.0412,-0.213112116,R32,R1234YF,,2023-for-mcl-0,1,,
0.672054,0.327949,283.15,0.36066,11.836,0.03,0.0359,-0.29423142,R32,R1234YF,,2023-for-mcl-0,1,,
0.672054,0.327949,283.152,0.47152,15.8283,0.03,0.0301,-0.394838753,R32,R1234YF,,2023-for-mcl-0,1,,
0.672054,0.327949,283.15,0.56212,19.2433,0.03,0.027,-0.482947285,R32,R1234YF,,2023-for-mcl-0,1,,
0.672054,0.327949,283.15,0.66193,23.1859,0.03,0.0257,-0.585841169,R32,R1234YF,,2023-for-mcl-0,1,,
0.672054,0.327949,283.153,0.76462,27.4692,0.03,0.0246,-0.700122482,R32,R1234YF,,2023-for-mcl-0,1,,
0.672054,0.327949,273.169,0.0703,2.2696,0.03,0.159,-0.104358726,R32,R1234YF,,2023-for-mcl-0,1,,
0.672054,0.327949,273.17,0.13942,4.5649,0.03,0.0691,-0.150553952,R32,R1234YF,,2023-for-mcl-0,1,,
0.672054,0.327949,273.169,0.22216,7.4012,0.03,0.0458,-0.23056483,R32,R1234YF,,2023-for-mcl-0,1,,
0.672054,0.327949,273.17,0.32858,11.2074,0.03,0.035,-0.340087207,R32,R1234YF,,2023-for-mcl-0,1,,
0.672054,0.327949,273.17,0.43114,15.0667,0.03,0.0316,-0.454093505,R32,R1234YF,,2023-for-mcl-0,1,,
0.672054,0.327949,273.169,0.52656,18.852,0.03,0.0279,-0.570794944,R32,R1234YF,,2023-for-mcl-0,1,,
0.672054,0.327949,273.168,0.55743,20.1219,0.03,0.028,-0.611227688,R32,R1234YF,,2023-for-mcl-0,1,,
0.672054,0.327949,263.18,0.0625,2.0948,0.03,0.145,-0.116105253,R32,R1234YF,,2023-for-mcl-0,1,,
0.672054,0.327949,263.181,0.10722,3.631,0.03,0.0872,-0.160826034,R32,R1234YF,,2023-for-mcl-0,1,,
0.672054,0.327949,263.179,0.16997,5.8433,0.03,0.057,-0.22278393,R32,R1234YF,,2023-for-mcl-0,1,,
0.672054,0.327949,263.179,0.20885,7.249,0.03,0.0507,-0.269268847,R32,R1234YF,,2023-for-mcl-0,1,,
0.672054,0.327949,263.181,0.26282,9.2483,0.03,0.04,-0.336396855,R32,R1234YF,,2023-for-mcl-0,1,,
0.672054,0.327949,263.18,0.3121,11.1262,0.03,0.0363,-0.403597186,R32,R1234YF,,2023-for-mcl-0,1,,
0.672054,0.327949,263.178,0.3572,12.8922,0.03,0.036,-0.470096252,R32,R1234YF,,2023-for-mcl-0,1,,
0.672054,0.327949,263.177,0.38518,14.0122,0.03,0.0319,-0.513775259,R32,R1234YF,,2023-for-mcl-0,1,,
0.672054,0.327949,253.159,0.05606,1.9535,0.03,0.154,-0.167265186,R32,R1234YF,,2023-for-mcl-0,1,,
0.672054,0.327949,253.161,0.09905,3.4924,0.03,0.0865,-0.197581583,R32,R1234YF,,2023-for-mcl-0,1,,
0.672054,0.327949,253.16,0.1394,4.9704,0.03,0.0712,-0.249476653,R32,R1234YF,,2023-for-mcl-0,1,,
0.672054,0.327949,253.159,0.15864,5.6876,0.03,0.0582,-0.2717995,R32,R1234YF,,2023-for-mcl-0,1,,
0.672054,0.327949,253.158,0.19544,7.0821,0.03,0.0488,-0.325604994,R32,R1234YF,,2023-for-mcl-0,1,,
0.672054,0.327949,253.157,0.213,7.7586,0.03,0.0462,-0.354306928,R32,R1234YF,,2023-for-mcl-0,1,,
0.672054,0.327949,253.155,0.22999,8.4203,0.03,0.0418,-0.383604104,R32,R1234YF,,2023-for-mcl-0,1,,
0.672054,0.327949,253.155,0.26243,9.7035,0.03,0.0392,-0.446944844,R32,R1234YF,,2023-for-mcl-0,1,,
0.672054,0.327949,253.157,0.2779,10.3257,0.03,0.039,-0.472830443,R32,R1234YF,,2023-for-mcl-0,1,,
0.672054,0.327949,230.149,1.77376,1238.8253,1.29,0.0221,-0.278418692,R32,R1234YF,,2023-for-mcl-0,1,,
0.672054,0.327949,240.157,2.23017,1211.3762,6.62,0.0364,-0.256293829,R32,R1234YF,,2023-for-mcl-0,1,,
0.672054,0.327949,240.157,2.24508,1211.4197,4.59,0.0292,-0.256031539,R32,R1234YF,,2023-for-mcl-0,1,,
0.672054,0.327949,240.157,2.24434,1211.4113,4.21,0.028,-0.256558504,R32,R1234YF,,2023-for-mcl-0,1,,
0.672054,0.327949,240.157,2.24579,1211.4283,5.28,0.0312,-0.255481538,R32,R1234YF,,2023-for-mcl-0,1,,
0.672054,0.327949,255.152,14.05277,1199.8413,2.92,0.0244,-0.293963962,R32,R1234YF,,2023-for-mcl-0,1,,
0.672054,0.327949,255.15,12.3921,1195.6435,2.42,0.0235,-0.282695363,R32,R1234YF,,2023-for-mcl-0,1,,
0.672054,0.327949,255.15,9.41219,1187.7586,2.09,0.0228,-0.260477942,R32,R1234YF,,2023-for-mcl-0,1,,
0.672054,0.327949,255.151,7.98353,1183.8043,1.89,0.0225,-0.248724159,R32,R1234YF,,2023-for-mcl-0,1,,
0.672054,0.327949,255.151,5.41589,1176.3843,1.91,0.0226,-0.225857189,R32,R1234YF,,2023-for-mcl-0,1,,
0.672054,0.327949,255.151,4.20022,1172.7148,1.33,0.0218,-0.214097834,R32,R1234YF,,2023-for-mcl-0,1,,
0.672054,0.327949,255.15,2.63726,1167.836,1.35,0.0218,-0.197989616,R32,R1234YF,,2023-for-mcl-0,1,,
0.672054,0.327949,265.159,10.46119,1162.4409,1.92,0.0225,-0.22470573,R32,R1234YF,,2023-for-mcl-0,1,,
0.672054,0.327949,265.161,9.12748,1158.3396,1.72,0.0222,-0.212529192,R32,R1234YF,,2023-for-mcl-0,1,,
0.672054,0.327949,265.157,7.87646,1154.3847,1.17,0.0215,-0.20075303,R32,R1234YF,,2023-for-mcl-0,1,,
0.672054,0.327949,265.161,5.59897,1146.8223,1.3,0.0216,-0.176909051,R32,R1234YF,,2023-for-mcl-0,1,,
0.672054,0.327949,265.161,3.52953,1139.5375,1.26,0.0216,-0.152872356,R32,R1234YF,,2023-for-mcl-0,1,,
0.672054,0.327949,265.16,2.66183,1136.3466,1.35,0.0217,-0.142369893,R32,R1234YF,,2023-for-mcl-0,1,,
0.672054,0.327949,275.149,10.00712,1131.7534,2,0.0226,-0.168743206,R32,R1234YF,,2023-for-mcl-0,1,,
0.672054,0.327949,275.149,8.84932,1127.6446,1.92,0.0223,-0.155857572,R32,R1234YF,,2023-for-mcl-0,1,,
0.672054,0.327949,275.149,6.75888,1119.8562,1.34,0.0216,-0.131512742,R32,R1234YF,,2023-for-mcl-0,1,,
0.672054,0.327949,275.15,4.8407,1112.2484,1.42,0.0217,-0.106084662,R32,R1234YF,,2023-for-mcl-0,1,,
0.672054,0.327949,275.15,2.52688,1102.3666,6.03,0.0332,-0.072029183,R32,R1234YF,,2023-for-mcl-0,1,,
0.672054,0.327949,284.998,8.96306,1097.3754,1.58,0.0219,-0.096100984,R32,R1234YF,,2023-for-mcl-0,1,,
0.672054,0.327949,284.999,8.01005,1093.3356,1.5,0.0218,-0.082949288,R32,R1234YF,,2023-for-mcl-0,1,,
0.672054,0.327949,285,6.25446,1085.5245,1.34,0.0216,-0.056595324,R32,R1234YF,,2023-for-mcl-0,1,,
0.672054,0.327949,285.002,3.8992,1074.1541,1.31,0.0215,-0.016084955,R32,R1234YF,,2023-for-mcl-0,1,,
0.672054,0.327949,284.999,2.64899,1067.6288,1.21,0.0214,0.007651278,R32,R1234YF,,2023-for-mcl-0,1,,
0.672054,0.327949,295.002,8.65312,1063.076,1.35,0.0216,-0.019715775,R32,R1234YF,,2023-for-mcl-0,1,,
0.672054,0.327949,295,7.09194,1055.0764,1.5,0.0218,0.008202543,R32,R1234YF,,2023-for-mcl-0,1,,
0.672054,0.327949,295.002,5.008,1043.4364,1.26,0.0215,0.051010907,R32,R1234YF,,2023-for-mcl-0,1,,
0.672054,0.327949,295.004,2.69968,1028.9299,1.47,0.0217,0.108566332,R32,R1234YF,,2023-for-mcl-0,1,,
0.672054,0.327949,309.983,10.80624,1022.9059,1.21,0.0215,0.055933575,R32,R1234YF,,2023-for-mcl-0,1,,
0.672054,0.327949,309.986,8.79767,1010.5505,1.48,0.0218,0.100895967,R32,R1234YF,,2023-for-mcl-0,1,,
0.672054,0.327949,309.985,7.02083,998.3992,1.22,0.0215,0.14708272,R32,R1234YF,,2023-for-mcl-0,1,,
0.672054,0.327949,309.986,4.98674,982.5934,1.23,0.0215,0.211802014,R32,R1234YF,,2023-for-mcl-0,1,,
0.672054,0.327949,309.988,2.62074,960.4835,2.69,0.024,0.312841912,R32,R1234YF,,2023-for-mcl-0,1,,
0.672054,0.327949,324.994,9.34437,955.4479,1.15,0.0216,0.22469567,R32,R1234YF,,2023-for-mcl-0,1,,
0.672054,0.327949,324.995,7.98421,943.0657,1.11,0.0215,0.276306307,R32,R1234YF,,2023-for-mcl-0,1,,
0.672054,0.327949,324.996,6.07061,922.7664,1.17,0.0216,0.368603085,R32,R1234YF,,2023-for-mcl-0,1,,
0.672054,0.327949,324.997,4.0128,894.9147,1.11,0.0215,0.518129254,R32,R1234YF,,2023-for-mcl-0,1,,
0.672054,0.327949,324.995,3.10384,879.2182,1.13,0.0216,0.626447096,R32,R1234YF,,2023-for-mcl-0,1,,
0.672054,0.327949,340.01,8.29865,873.6907,1.22,0.0218,0.452692688,R32,R1234YF,,2023-for-mcl-0,1,,
0.672054,0.327949,340.009,8.27667,873.3843,1.17,0.0218,0.454920135,R32,R1234YF,,2023-for-mcl-0,1,,
0.672054,0.327949,340.004,7.33444,858.8363,0.63,0.0216,0.538546473,R32,R1234YF,,2023-for-mcl-0,1,,
0.672054,0.327949,340.004,6.01536,833.7233,0.55,0.0213,0.690053359,R32,R1234YF,,2023-for-mcl-0,1,,
0.672054,0.327949,340.004,5.0224,808.6744,0.45,0.0213,0.877225536,R32,R1234YF,,2023-for-mcl-0,1,,
0.672054,0.327949,340.003,4.30751,784.079,0.61,0.0214,1.120394716,R32,R1234YF,,2023-for-mcl-0,1,,
0.672054,0.327949,359.999,9.61301,780.1714,0.37,0.0216,0.622018155,R32,R1234YF,,2023-for-mcl-0,1,,
0.672054,0.327949,359.999,7.83203,726.8278,0.42,0.0216,0.891110245,R32,R1234YF,,2023-for-mcl-0,1,,
0.672054,0.327949,360.001,6.80965,674.0383,0.42,0.0216,1.145593329,R32,R1234YF,,2023-for-mcl-0,1,,
0.672054,0.327949,360.001,6.06931,595.3715,0.45,0.0218,1.316575434,R32,R1234YF,,2023-for-mcl-0,1,,
0.672054,0.327949,379.996,9.11312,593.2876,0.39,0.0222,0.664995867,R32,R1234YF,,2023-for-mcl-0,1,,
0.672054,0.327949,379.998,7.91869,485.4347,0.43,0.0223,0.154969762,R32,R1234YF,,2023-for-mcl-0,1,,
0.672054,0.327949,379.998,6.91246,352.5584,0.43,0.0228,-1.011000222,R32,R1234YF,,2023-for-mcl-0,1,,
0.672054,0.327949,379.998,5.95975,248.6526,0.43,0.023,-1.270396686,R32,R1234YF,,2023-for-mcl-0,1,,
0.672054,0.327949,379.997,4.90732,172.6845,0.44,0.0247,-1.053244378,R32,R1234YF,,2023-for-mcl-0,1,,
0.672054,0.327949,399.996,5.50001,172.2848,0.45,0.0257,-0.814656399,R32,R1234YF,,2023-for-mcl-0,1,,
0.672054,0.327949,399.997,4.94265,147.4603,0.46,0.026,-0.747859921,R32,R1234YF,,2023-for-mcl-0,1,,
