z_1 / mole frac.,z_2 / mole frac.,T / K,p / MPa,rho / kg/m^3,u(p) (kPa),Uc(r) (%),D(r) (%),FLD1,FLD2,skip,bibkey,weight,method,probable absorption
0.336808,0.663192,293.153,0.09021,3.5052,0.03,0.1018,-0.05132592,R32,R1234YF,,2023-for-mcl-0,1,,
0.336808,0.663192,293.15,0.18337,7.2536,0.03,0.0463,-0.103290135,R32,R1234YF,,2023-for-mcl-0,1,,
0.336808,0.663192,293.153,0.26305,10.5737,0.03,0.0387,-0.143546544,R32,R1234YF,,2023-for-mcl-0,1,,
0.336808,0.663192,293.153,0.33207,13.5431,0.03,0.0326,-0.174691158,R32,R1234YF,,2023-for-mcl-0,1,,
0.336808,0.663192,293.153,0.41269,17.1309,0.03,0.0288,-0.216680937,R32,R1234YF,,2023-for-mcl-0,1,,
0.336808,0.663192,293.153,0.49558,20.9691,0.03,0.0266,-0.256385863,R32,R1234YF,,2023-for-mcl-0,1,,
0.336808,0.663192,293.155,0.57366,24.7392,0.03,0.0254,-0.291798997,R32,R1234YF,,2023-for-mcl-0,1,,
0.336808,0.663192,293.151,0.6535,28.7697,0.03,0.0242,-0.329467033,R32,R1234YF,,2023-for-mcl-0,1,,
0.336808,0.663192,293.154,0.72945,32.7901,0.03,0.0243,-0.361904878,R32,R1234YF,,2023-for-mcl-0,1,,
0.336808,0.663192,283.163,0.08303,3.3422,0.03,0.1167,-0.059147569,R32,R1234YF,,2023-for-mcl-0,1,,
0.336808,0.663192,283.162,0.12042,4.8863,0.03,0.0657,-0.085022712,R32,R1234YF,,2023-for-mcl-0,1,,
0.336808,0.663192,283.162,0.18849,7.7648,0.03,0.0445,-0.127811397,R32,R1234YF,,2023-for-mcl-0,1,,
0.336808,0.663192,283.161,0.24846,10.3782,0.03,0.0367,-0.163671474,R32,R1234YF,,2023-for-mcl-0,1,,
0.336808,0.663192,283.163,0.30172,12.7645,0.03,0.0339,-0.198165029,R32,R1234YF,,2023-for-mcl-0,1,,
0.336808,0.663192,283.16,0.3605,15.4762,0.03,0.0314,-0.236236456,R32,R1234YF,,2023-for-mcl-0,1,,
0.336808,0.663192,283.162,0.42068,18.3448,0.03,0.0276,-0.272461107,R32,R1234YF,,2023-for-mcl-0,1,,
0.336808,0.663192,283.161,0.48695,21.6237,0.03,0.0265,-0.31054728,R32,R1234YF,,2023-for-mcl-0,1,,
0.336808,0.663192,283.162,0.54138,24.42,0.03,0.0258,-0.343744705,R32,R1234YF,,2023-for-mcl-0,1,,
0.336808,0.663192,283.16,0.56996,25.9303,0.03,0.0249,-0.358838524,R32,R1234YF,,2023-for-mcl-0,1,,
0.336808,0.663192,283.161,0.57528,26.2143,0.03,0.0258,-0.362558461,R32,R1234YF,,2023-for-mcl-0,1,,
0.336808,0.663192,283.162,0.5805,26.4942,0.03,0.0252,-0.365396826,R32,R1234YF,,2023-for-mcl-0,1,,
0.336808,0.663192,273.152,0.05492,2.2811,0.03,0.1441,-0.077052503,R32,R1234YF,,2023-for-mcl-0,1,,
0.336808,0.663192,273.148,0.10963,4.6151,0.03,0.0686,-0.108828154,R32,R1234YF,,2023-for-mcl-0,1,,
0.336808,0.663192,273.148,0.15922,6.7873,0.03,0.0678,-0.144355426,R32,R1234YF,,2023-for-mcl-0,1,,
0.336808,0.663192,273.152,0.20476,8.8335,0.03,0.0462,-0.172803268,R32,R1234YF,,2023-for-mcl-0,1,,
0.336808,0.663192,273.15,0.25953,11.3638,0.03,0.0347,-0.217936853,R32,R1234YF,,2023-for-mcl-0,1,,
0.336808,0.663192,273.147,0.30798,13.6714,0.03,0.0314,-0.257014344,R32,R1234YF,,2023-for-mcl-0,1,,
0.336808,0.663192,273.147,0.35125,15.7919,0.03,0.0333,-0.291550565,R32,R1234YF,,2023-for-mcl-0,1,,
0.336808,0.663192,273.15,0.38078,17.274,0.03,0.0285,-0.313026561,R32,R1234YF,,2023-for-mcl-0,1,,
0.336808,0.663192,273.149,0.39006,17.7462,0.03,0.0281,-0.319215325,R32,R1234YF,,2023-for-mcl-0,1,,
0.336808,0.663192,273.148,0.39904,18.2058,0.03,0.0277,-0.326572847,R32,R1234YF,,2023-for-mcl-0,1,,
0.336808,0.663192,273.148,0.4078,18.6565,0.03,0.0305,-0.335557168,R32,R1234YF,,2023-for-mcl-0,1,,
0.336808,0.663192,273.149,0.41638,19.1012,0.03,0.0278,-0.340917,R32,R1234YF,,2023-for-mcl-0,1,,
0.336808,0.663192,263.148,0.06527,2.8274,0.03,0.1069,-0.098368163,R32,R1234YF,,2023-for-mcl-0,1,,
0.336808,0.663192,263.149,0.09965,4.3588,0.03,0.0881,-0.126114038,R32,R1234YF,,2023-for-mcl-0,1,,
0.336808,0.663192,263.152,0.13205,5.8306,0.03,0.0558,-0.150751712,R32,R1234YF,,2023-for-mcl-0,1,,
0.336808,0.663192,263.152,0.1626,7.2447,0.03,0.0494,-0.18233839,R32,R1234YF,,2023-for-mcl-0,1,,
0.336808,0.663192,263.151,0.19134,8.6,0.03,0.041,-0.212165181,R32,R1234YF,,2023-for-mcl-0,1,,
0.336808,0.663192,263.149,0.21834,9.8965,0.03,0.0388,-0.240927761,R32,R1234YF,,2023-for-mcl-0,1,,
