T / K,p / kPa,x_1 / mole frac.,bibkey,skip,weight,U_{k=2}(p) / %,kind,FLD1,FLD2,rhoL_1 / mol/m^3,rhoL_2 / mol/m^3,rhoV_1 / mol/m^3,rhoV_2 / mol/m^3,p(EOS) / Pa
270.0,519.87,0.369,2022 out row 0,,1.0,1.15,BUB,R32,R1234YF,4646.010277951891,7944.8034834353475,160.56698549713218,107.32201488384008,525512.7066295876
270.0,519.57,0.369,2022 out row 0,,1.0,1.15,BUB,R32,R1234YF,4646.010277951891,7944.8034834353475,160.56698549713218,107.32201488384008,525512.7066295876
280.0,708.13,0.369,2022 out row 0,,1.0,0.86,BUB,R32,R1234YF,4505.017687440482,7703.702332723426,212.72144987992937,150.87738106173987,715634.4282611043
280.0,707.39,0.369,2022 out row 0,,1.0,0.86,BUB,R32,R1234YF,4505.017687440482,7703.702332723426,212.72144987992937,150.87738106173987,715634.4282611043
290.0,941.66,0.369,2022 out row 0,,1.0,0.65,BUB,R32,R1234YF,4354.454713478516,7446.235566951068,277.0291073104227,208.76936855539142,952416.880426646
290.0,939.79,0.369,2022 out row 0,,1.0,0.65,BUB,R32,R1234YF,4354.454713478516,7446.235566951068,277.0291073104227,208.76936855539142,952416.880426646
300.0,1227.17,0.369,2022 out row 0,,1.0,0.5,BUB,R32,R1234YF,4191.973351110562,7168.388034012913,355.8480746899098,285.58725109161645,1242181.5568581442
300.0,1221.74,0.369,2022 out row 0,,1.0,0.5,BUB,R32,R1234YF,4191.973351110562,7168.388034012913,355.8480746899098,285.58725109161645,1242181.5568581442
310.0,1569.53,0.369,2022 out row 0,,1.0,0.4,BUB,R32,R1234YF,4014.0941808294533,6864.209832258496,452.38195886116296,388.0688919380633,1591440.4783171548
310.0,1562.73,0.369,2022 out row 0,,1.0,0.4,BUB,R32,R1234YF,4014.0941808294533,6864.209832258496,452.38195886116296,388.0688919380633,1591440.4783171548
320.0,1966.02,0.369,2022 out row 0,,1.0,0.32,BUB,R32,R1234YF,3814.813750193706,6523.434895317692,571.3589659912153,526.8577892378994,2006877.684639559
330.0,2456.76,0.369,2022 out row 0,,1.0,0.26,BUB,R32,R1234YF,3582.85385357794,6126.777185928672,720.5869658134181,720.6128142259652,2495247.6898819413
330.0,2444.13,0.369,2022 out row 0,,1.0,0.26,BUB,R32,R1234YF,3582.85385357794,6126.777185928672,720.5869658134181,720.6128142259652,2495247.6898819413
340.0,3016.56,0.369,2022 out row 0,,1.0,0.22,BUB,R32,R1234YF,3295.778358904729,5635.870310213778,915.4174780399946,1008.0522068081891,3062995.287154709
340.0,3003.33,0.369,2022 out row 0,,1.0,0.22,BUB,R32,R1234YF,3295.778358904729,5635.870310213778,915.4174780399946,1008.0522068081891,3062995.287154709
350.0,3662.19,0.369,2022 out row 0,,1.0,0.18,BUB,R32,R1234YF,2893.342585754756,4947.69423200881,1197.973775765597,1501.5332600770212,3713955.900694181
350.0,3655.89,0.369,2022 out row 0,,1.0,0.18,BUB,R32,R1234YF,2893.342585754756,4947.69423200881,1197.973775765597,1501.5332600770212,3713955.900694181
270.0,651.16,0.688,2022 out row 0,,1.0,0.26,BUB,R32,R1234YF,10708.29841514263,4856.088816169334,267.06280774522617,66.69808244879071,643269.0097306785
270.0,651.36,0.688,2022 out row 0,,1.0,0.26,BUB,R32,R1234YF,10708.29841514263,4856.088816169334,267.06280774522617,66.69808244879071,643269.0097306785
280.0,889.1,0.688,2022 out row 0,,1.0,0.22,BUB,R32,R1234YF,10361.66981140655,4698.89677494018,363.01498880323265,93.56268852240304,879041.670722317
290.0,1185.95,0.688,2022 out row 0,,1.0,0.18,BUB,R32,R1234YF,9989.606999759142,4530.170616169845,485.9303465958045,129.60896340142108,1174117.1213426213
290.0,1186.81,0.688,2022 out row 0,,1.0,0.18,BUB,R32,R1234YF,9989.606999759142,4530.170616169845,485.9303465958045,129.60896340142108,1174117.1213426213
300.0,1549.14,0.688,2022 out row 0,,1.0,0.15,BUB,R32,R1234YF,9585.00615519213,4346.688837819688,643.210275328281,178.19265434279936,1537163.256476278
310.0,1989.56,0.688,2022 out row 0,,1.0,0.13,BUB,R32,R1234YF,9136.788207045454,4143.427210171777,845.7660029923544,244.56059095657983,1977398.475742684
310.0,1990.91,0.688,2022 out row 0,,1.0,0.13,BUB,R32,R1234YF,9136.788207045454,4143.427210171777,845.7660029923544,244.56059095657983,1977398.475742684
320.0,2517.72,0.688,2022 out row 0,,1.0,0.12,BUB,R32,R1234YF,8625.392323738552,3911.5151235558556,1111.3133733777765,337.68527418143714,2504739.7485960363
330.0,3143.63,0.688,2022 out row 0,,1.0,0.1,BUB,R32,R1234YF,8012.044628300116,3633.369075624472,1473.0587070472297,475.1800241125123,3130027.2228508093
330.0,3145.06,0.688,2022 out row 0,,1.0,0.1,BUB,R32,R1234YF,8012.044628300116,3633.369075624472,1473.0587070472297,475.1800241125123,3130027.2228508093
