FLD1,FLD2,z_1 / mole frac.,z_2 / mole frac.,T / K,p / MPa,w / m/s,Uc(w) / %,sigma_T / K,sigma_p / MPa,sigma_w / m s^-1,N_temp,N_echo,bibkey,weight,p / Pa,Ao20,rho(EOS) / mol/m^3
R32,R1234YF,0.33806,0.66194,285.0,10.562,609.338,0.054,0.001,0.001,0.004,16,12,2022 row per 0,1,10562000,-8.546379084870647,12337.359800903578
R32,R1234YF,0.33806,0.66194,269.99,1.111,588.858,0.062,0.002,0.0,0.004,16,12,2022 row per 0,1,1111000,-8.22182519595336,12398.779681894144
R32,R1234YF,0.33806,0.66194,274.993,1.141,564.989,0.067,0.002,0.0,0.003,14,10,2022 row per 0,1,1141000,-8.330805778927278,12215.135205927509
R32,R1234YF,0.33806,0.66194,279.999,4.131,571.994,0.063,0.003,0.001,0.006,16,12,2022 row per 0,1,4131000,-8.43904946414944,12192.774958359943
R32,R1234YF,0.33806,0.66194,285.0,7.144,579.148,0.06,0.002,0.001,0.005,13,9,2022 row per 0,1,7144000,-8.546379084870647,12173.344840088434
R32,R1234YF,0.33806,0.66194,290.002,10.167,586.294,0.057,0.002,0.001,0.01,13,9,2022 row per 0,1,10167000,-8.65291881404151,12155.797243621491
R32,R1234YF,0.33806,0.66194,279.997,1.348,542.883,0.072,0.001,0.0,0.003,15,11,2022 row per 0,1,1348000,-8.439006379403002,12035.703802761032
R32,R1234YF,0.33806,0.66194,284.999,4.197,550.116,0.068,0.001,0.011,0.103,16,12,2022 row per 0,1,4197000,-8.546357704117208,12013.704318268938
R32,R1234YF,0.33806,0.66194,290.003,7.057,557.313,0.064,0.002,0.001,0.009,15,11,2022 row per 0,1,7057000,-8.652940031925468,11993.83775501081
R32,R1234YF,0.33806,0.66194,285.0,1.499,520.129,0.079,0.001,0.001,0.007,16,12,2022 row per 0,1,1499000,-8.546379084870647,11847.388877684534
R32,R1234YF,0.33806,0.66194,290.002,4.239,527.915,0.073,0.001,0.001,0.005,16,12,2022 row per 0,1,4239000,-8.65291881404151,11827.669495355172
R32,R1234YF,0.33806,0.66194,294.998,6.987,535.596,0.069,0.002,0.0,0.004,12,8,2022 row per 0,1,6987000,-8.758514352962521,11810.090024875602
R32,R1234YF,0.33806,0.66194,299.998,9.742,543.149,0.065,0.001,0.001,0.002,16,12,2022 row per 0,1,9742000,-8.86337033054955,11794.111175974202
R32,R1234YF,0.33806,0.66194,290.0,1.545,495.93,0.087,0.001,0.0,0.001,16,12,2022 row per 0,1,1545000,-8.652876378175536,11644.993301569759
R32,R1234YF,0.33806,0.66194,294.998,4.147,504.078,0.081,0.004,0.001,0.007,16,12,2022 row per 0,1,4147000,-8.758514352962521,11626.383187263073
R32,R1234YF,0.33806,0.66194,300.0,6.763,512.088,0.075,0.001,0.001,0.012,13,9,2022 row per 0,1,6763000,-8.863412106951582,11609.907631341508
R32,R1234YF,0.33806,0.66194,304.998,9.382,519.898,0.071,0.001,0.001,0.011,14,10,2022 row per 0,1,9382000,-8.967393948045634,11595.026672010788
R32,R1234YF,0.33806,0.66194,294.996,1.578,471.201,0.098,0.001,0.001,0.013,10,7,2022 row per 0,1,1578000,-8.75847224511237,11432.586495758549
R32,R1234YF,0.33806,0.66194,299.998,4.045,479.738,0.09,0.001,0.001,0.006,16,12,2022 row per 0,1,4045000,-8.86337033054955,11415.155501451936
R32,R1234YF,0.33806,0.66194,304.997,6.522,488.049,0.083,0.001,0.001,0.01,13,9,2022 row per 0,1,6522000,-8.967373227100271,11399.824079068958
R32,R1234YF,0.33806,0.66194,310.0,9.007,496.127,0.077,0.003,0.001,0.008,13,9,2022 row per 0,1,9007000,-9.070617797859143,11386.065370044284
R32,R1234YF,0.33806,0.66194,299.997,1.775,448.414,0.109,0.002,0.001,0.015,9,5,2022 row per 0,1,1775000,-8.863349442298595,11224.118918779055
R32,R1234YF,0.33806,0.66194,304.996,4.117,457.322,0.099,0.002,0.0,0.006,8,6,2022 row per 0,1,4117000,-8.967352506121273,11208.391444308243
R32,R1234YF,0.33806,0.66194,310.001,6.471,465.951,0.091,0.002,0.001,0.008,14,10,2022 row per 0,1,6471000,-9.070638349644735,11194.455199250922
R32,R1234YF,0.33806,0.66194,314.995,8.823,474.211,0.084,0.001,0.002,0.028,4,2,2022 row per 0,1,8823000,-9.172848459343403,11181.822524593439
R32,R1234YF,0.33806,0.66194,304.994,1.992,425.717,0.123,0.004,0.0,0.005,12,8,2022 row per 0,1,1992000,-8.96731106406238,11008.80818813577
R32,R1234YF,0.33806,0.66194,309.998,4.21,435.013,0.111,0.002,0.001,0.004,13,9,2022 row per 0,1,4210000,-9.070576694185979,10994.533053724559
R32,R1234YF,0.33806,0.66194,314.994,6.432,443.866,0.101,0.002,0.001,0.011,12,8,2022 row per 0,1,6432000,-9.17282807824042,10981.844160446633
R32,R1234YF,0.33806,0.66194,320.004,8.659,452.314,0.093,0.002,0.001,0.012,13,9,2022 row per 0,1,8659000,-9.274504634346682,10969.92196795165
R32,R1234YF,0.33806,0.66194,309.997,1.679,393.182,0.151,0.001,0.001,0.024,11,8,2022 row per 0,1,1679000,-9.07055614229841,10719.529550726662
R32,R1234YF,0.33806,0.66194,314.993,3.724,403.009,0.134,0.001,0.0,0.001,4,3,2022 row per 0,1,3724000,-9.172807697103076,10706.455707463905
R32,R1234YF,0.33806,0.66194,320.004,5.784,412.347,0.12,0.003,0.001,0.018,8,5,2022 row per 0,1,5784000,-9.274504634346682,10694.914252771845
R32,R1234YF,0.33806,0.66194,325.008,7.833,421.012,0.109,0.002,0.001,0.022,12,8,2022 row per 0,1,7833000,-9.375188905080343,10683.28561189096
R32,R1234YF,0.33806,0.66194,314.993,2.135,373.869,0.17,0.003,0.001,0.019,15,11,2022 row per 0,1,2135000,-9.172807697103076,10506.359390900296
R32,R1234YF,0.33806,0.66194,320.002,4.081,384.107,0.149,0.002,0.001,0.026,7,4,2022 row per 0,1,4081000,-9.274464218265324,10495.774184163763
R32,R1234YF,0.33806,0.66194,325.007,6.029,393.611,0.133,0.003,0.001,0.018,9,6,2022 row per 0,1,6029000,-9.375168871872086,10485.914501911819
R32,R1234YF,0.33806,0.66194,330.0,7.975,402.541,0.12,0.001,0.0,0.009,6,4,2022 row per 0,1,7975000,-9.474755347751977,10476.903377068553
R32,R1234YF,0.33806,0.66194,320.001,2.038,342.393,0.217,0.001,0.001,0.327,7,4,2022 row per 0,1,2038000,-9.274444010172529,10194.992847437135
R32,R1234YF,0.33806,0.66194,325.009,3.813,352.918,0.186,0.001,0.0,0.26,5,3,2022 row per 0,1,3813000,-9.375208938253474,10184.972610853702
R32,R1234YF,0.33806,0.66194,330.0,5.595,362.747,0.163,0.001,0.001,0.245,15,11,2022 row per 0,1,5595000,-9.474755347751977,10176.857430724449
R32,R1234YF,0.33806,0.66194,335.004,7.367,371.966,0.145,0.001,0.001,0.031,14,10,2022 row per 0,1,7367000,-9.573673190549158,10166.915566977908
R32,R1234YF,0.33806,0.66194,325.006,2.302,317.938,0.267,0.002,0.0,0.204,6,3,2022 row per 0,1,2302000,-9.375148838628704,9915.095629353431
R32,R1234YF,0.33806,0.66194,329.998,3.947,328.835,0.223,0.0,0.0,0.269,3,2,2022 row per 0,1,3947000,-9.474715633887891,9908.807396557742
R32,R1234YF,0.33806,0.66194,335.003,5.591,338.728,0.193,0.001,0.001,0.188,14,10,2022 row per 0,1,5591000,-9.573653512228644,9900.719267497236
R32,R1234YF,0.33806,0.66194,340.007,7.251,348.351,0.169,0.001,0.0,0.305,12,8,2022 row per 0,1,7251000,-9.671673250285394,9895.151315918843
R32,R1234YF,0.33806,0.66194,329.996,2.791,298.817,0.312,0.001,0.0,0.0,2,1,2022 row per 0,1,2791000,-9.474675919881792,9666.190548390043
R32,R1234YF,0.33806,0.66194,340.007,5.878,320.913,0.217,0.002,0.001,0.225,6,3,2022 row per 0,1,5878000,-9.671673250285394,9658.269785149683
R32,R1234YF,0.33806,0.66194,345.013,7.435,330.251,0.189,0.001,0.0,0.195,6,4,2022 row per 0,1,7435000,-9.768824351684835,9655.02408867538
R32,R1234YF,0.33806,0.66194,340.006,4.249,278.741,0.344,0.001,0.0,0.0,2,1,2022 row per 0,1,4249000,-9.671653752351327,9284.250767237312
R32,R1234YF,0.33806,0.66194,345.012,5.646,289.915,0.282,0.001,0.0,0.0,2,1,2022 row per 0,1,5646000,-9.768805036005093,9285.595559958612
R32,R1234YF,0.67205,0.32795,229.999,1.345,829.682,0.04,0.001,0.004,0.052,16,12,2022 row per 0,1,1345000,-5.447648622489084,17159.098878625093
R32,R1234YF,0.67205,0.32795,235.011,1.386,804.713,0.041,0.001,0.001,0.009,16,12,2022 row per 0,1,1386000,-5.522695085899662,16960.805944551954
R32,R1234YF,0.67205,0.32795,240.004,1.42,779.921,0.042,0.001,0.001,0.008,16,12,2022 row per 0,1,1420000,-5.597565914576367,16759.037688968878
R32,R1234YF,0.67205,0.32795,245.007,1.446,754.976,0.044,0.002,0.001,0.015,16,12,2022 row per 0,1,1446000,-5.67268707614888,16552.196586700054
R32,R1234YF,0.67205,0.32795,250.006,2.723,739.49,0.045,0.001,0.002,0.014,16,12,2022 row per 0,1,2723000,-5.747839117681443,16394.660629765538
R32,R1234YF,0.67205,0.32795,254.999,7.035,746.53,0.043,0.001,0.001,0.009,16,12,2022 row per 0,1,7035000,-5.822981050385945,16367.677540820985
R32,R1234YF,0.67205,0.32795,259.993,11.378,753.767,0.042,0.001,0.001,0.008,16,12,2022 row per 0,1,11378000,-5.898205935916914,16343.794914537366
R32,R1234YF,0.67205,0.32795,259.993,1.681,681.283,0.051,0.002,0.003,0.028,16,12,2022 row per 0,1,1681000,-5.898205935916914,15910.019395695857
R32,R1234YF,0.67205,0.32795,264.996,5.551,688.517,0.048,0.001,0.003,0.027,16,12,2022 row per 0,1,5551000,-5.973620594827244,15881.168550808874
