FLD1,FLD2,z_1 / mole frac.,z_2 / mole frac.,T / K,p / MPa,w / m/s,Uc(w) / %,sigma_T / K,sigma_p / MPa,sigma_w / m s^-1,N_temp,N_echo,bibkey,weight,p / Pa,Ao20,rho(EOS) / mol/m^3
R32,R1234ZEE,0.33512,0.66488,320.001,39.39,739.428,0.039,0.007,0.004,0.016,16,12,2022 row per 0,1,39390000,-9.296218701297152,12448.768932145691
R32,R1234ZEE,0.33512,0.66488,325.009,43.031,745.229,0.038,0.001,0.004,0.013,16,12,2022 row per 0,1,43031000,-9.3972146132195,12448.171640868433
R32,R1234ZEE,0.33512,0.66488,329.999,46.706,751.239,0.038,0.001,0.002,0.01,16,12,2022 row per 0,1,46706000,-9.496965718000705,12449.264842621134
R32,R1234ZEE,0.33512,0.66488,274.99,1.396,646.008,0.053,0.001,0.001,0.009,16,12,2022 row per 0,1,1396000,-8.35016262171008,12208.986167743471
R32,R1234ZEE,0.33512,0.66488,279.995,5.106,654.063,0.051,0.001,0.002,0.008,16,12,2022 row per 0,1,5106000,-8.458673232950309,12223.436780254213
R32,R1234ZEE,0.33512,0.66488,284.997,8.821,661.992,0.049,0.001,0.004,0.016,16,12,2022 row per 0,1,8821000,-8.566305760293629,12236.196925347791
R32,R1234ZEE,0.33512,0.66488,289.999,12.525,669.678,0.047,0.001,0.001,0.009,16,12,2022 row per 0,1,12525000,-8.673120069019728,12246.932766466596
R32,R1234ZEE,0.33512,0.66488,294.995,16.217,677.205,0.045,0.001,0.001,0.004,16,12,2022 row per 0,1,16217000,-8.77898323228596,12256.236770070907
R32,R1234ZEE,0.33512,0.66488,299.997,19.911,684.591,0.044,0.001,0.002,0.012,16,12,2022 row per 0,1,19911000,-8.88414244648593,12264.649765379358
R32,R1234ZEE,0.33512,0.66488,304.996,23.585,691.765,0.043,0.001,0.001,0.005,16,12,2022 row per 0,1,23585000,-8.988399976942494,12271.755622532719
R32,R1234ZEE,0.33512,0.66488,309.997,27.232,698.693,0.042,0.002,0.005,0.018,16,12,2022 row per 0,1,27232000,-9.091851987866125,12277.385757853737
R32,R1234ZEE,0.33512,0.66488,314.993,30.835,705.315,0.041,0.001,0.001,0.005,16,12,2022 row per 0,1,30835000,-9.194345630395617,12281.323625444234
R32,R1234ZEE,0.33512,0.66488,320.003,34.442,711.86,0.04,0.0,0.001,0.005,16,12,2022 row per 0,1,34442000,-9.296259210836878,12284.996335077009
R32,R1234ZEE,0.33512,0.66488,325.008,38.029,718.25,0.04,0.002,0.001,0.008,16,12,2022 row per 0,1,38029000,-9.397194534490245,12288.098492920979
R32,R1234ZEE,0.33512,0.66488,330.0,41.582,724.455,0.039,0.001,0.001,0.006,16,12,2022 row per 0,1,41582000,-9.496985619364377,12290.433187830315
R32,R1234ZEE,0.33512,0.66488,335.003,45.089,730.355,0.038,0.001,0.004,0.02,16,12,2022 row per 0,1,45089000,-9.596103446033913,12291.184781178341
R32,R1234ZEE,0.33512,0.66488,279.993,1.419,622.115,0.057,0.001,0.007,0.047,16,12,2022 row per 0,1,1419000,-8.458630034262441,12020.34930858199
R32,R1234ZEE,0.33512,0.66488,284.996,4.951,630.326,0.054,0.001,0.001,0.013,16,12,2022 row per 0,1,4951000,-8.566284323972766,12036.84539881592
R32,R1234ZEE,0.33512,0.66488,289.999,8.496,638.392,0.051,0.001,0.003,0.018,16,12,2022 row per 0,1,8496000,-8.673120069019728,12051.627516876255
R32,R1234ZEE,0.33512,0.66488,294.994,12.067,646.531,0.049,0.001,0.003,0.018,16,12,2022 row per 0,1,12067000,-8.778962125462376,12066.106686949122
R32,R1234ZEE,0.33512,0.66488,299.996,15.604,654.206,0.047,0.002,0.001,0.009,16,12,2022 row per 0,1,15604000,-8.884121506669064,12077.243947536996
R32,R1234ZEE,0.33512,0.66488,304.994,19.12,661.614,0.046,0.001,0.002,0.015,16,12,2022 row per 0,1,19120000,-8.988358434324184,12086.549610860216
R32,R1234ZEE,0.33512,0.66488,309.997,22.618,668.783,0.044,0.001,0.003,0.017,16,12,2022 row per 0,1,22618000,-9.091851987866125,12094.23707605444
R32,R1234ZEE,0.33512,0.66488,314.994,26.092,675.716,0.043,0.002,0.001,0.007,16,12,2022 row per 0,1,26092000,-9.194366059394836,12100.631012321135
R32,R1234ZEE,0.33512,0.66488,320.002,29.565,682.529,0.042,0.002,0.001,0.005,16,12,2022 row per 0,1,29565000,-9.296238956084503,12106.38873909332
R32,R1234ZEE,0.33512,0.66488,325.008,33.02,689.173,0.041,0.001,0.002,0.013,16,12,2022 row per 0,1,33020000,-9.397194534490245,12111.307657910713
R32,R1234ZEE,0.33512,0.66488,329.999,36.445,695.625,0.041,0.002,0.001,0.005,16,12,2022 row per 0,1,36445000,-9.496965718000705,12115.385212041518
R32,R1234ZEE,0.33512,0.66488,335.003,39.844,701.856,0.04,0.001,0.002,0.01,16,12,2022 row per 0,1,39844000,-9.596103446033913,12118.22308393087
R32,R1234ZEE,0.33512,0.66488,340.008,43.231,707.957,0.039,0.002,0.0,0.002,16,12,2022 row per 0,1,43231000,-9.694357084574706,12120.694126517676
R32,R1234ZEE,0.33512,0.66488,345.012,46.608,713.974,0.039,0.001,0.002,0.011,16,12,2022 row per 0,1,46608000,-9.791678519479888,12122.950915019204
R32,R1234ZEE,0.33512,0.66488,284.994,1.301,596.717,0.061,0.001,0.001,0.006,16,12,2022 row per 0,1,1301000,-8.56624145123294,11815.266521462927
R32,R1234ZEE,0.33512,0.66488,289.997,4.685,605.335,0.057,0.001,0.001,0.005,16,12,2022 row per 0,1,4685000,-8.673077524702189,11836.457940870074
R32,R1234ZEE,0.33512,0.66488,294.993,8.073,613.748,0.054,0.001,0.0,0.004,16,12,2022 row per 0,1,8073000,-8.77894101860556,11854.940604309111
R32,R1234ZEE,0.33512,0.66488,299.995,11.462,621.919,0.052,0.001,0.001,0.005,16,12,2022 row per 0,1,11462000,-8.884100566818658,11870.876308059325
R32,R1234ZEE,0.33512,0.66488,304.994,14.835,629.782,0.05,0.001,0.001,0.007,16,12,2022 row per 0,1,14835000,-8.988358434324184,11884.294258166585
R32,R1234ZEE,0.33512,0.66488,309.997,18.19,637.36,0.048,0.001,0.001,0.004,16,12,2022 row per 0,1,18190000,-9.091851987866125,11895.410233737293
R32,R1234ZEE,0.33512,0.66488,314.992,21.543,644.771,0.047,0.001,0.001,0.012,16,12,2022 row per 0,1,21543000,-9.1943252013618,11905.724653021323
R32,R1234ZEE,0.33512,0.66488,320.002,24.881,651.945,0.045,0.001,0.003,0.012,16,12,2022 row per 0,1,24881000,-9.296238956084503,11914.21701627162
R32,R1234ZEE,0.33512,0.66488,325.007,28.196,658.865,0.044,0.001,0.001,0.002,16,12,2022 row per 0,1,28196000,-9.39717445572564,11921.361393595962
R32,R1234ZEE,0.33512,0.66488,330.0,31.486,665.572,0.043,0.002,0.003,0.016,16,12,2022 row per 0,1,31486000,-9.496985619364377,11927.454068510147
R32,R1234ZEE,0.33512,0.66488,335.002,34.745,671.978,0.042,0.001,0.003,0.017,16,12,2022 row per 0,1,34745000,-9.596083724309942,11931.900762844525
R32,R1234ZEE,0.33512,0.66488,340.008,37.999,678.295,0.041,0.001,0.001,0.004,16,12,2022 row per 0,1,37999000,-9.694357084574706,11935.983584043997
R32,R1234ZEE,0.33512,0.66488,345.012,41.239,684.486,0.041,0.001,0.001,0.003,16,12,2022 row per 0,1,41239000,-9.791678519479888,11939.566169074813
R32,R1234ZEE,0.33512,0.66488,289.995,1.511,574.316,0.066,0.001,0.001,0.01,16,12,2022 row per 0,1,1511000,-8.673034980252844,11624.034940674328
R32,R1234ZEE,0.33512,0.66488,294.992,4.741,583.154,0.061,0.0,0.001,0.009,12,9,2022 row per 0,1,4741000,-8.778919911715509,11648.660716383933
R32,R1234ZEE,0.33512,0.66488,299.994,7.975,591.706,0.058,0.001,0.001,0.006,16,12,2022 row per 0,1,7975000,-8.884079626934703,11669.528086418639
R32,R1234ZEE,0.33512,0.66488,304.993,11.206,599.98,0.055,0.001,0.0,0.002,16,12,2022 row per 0,1,11206000,-8.988337662964204,11687.507746326115
R32,R1234ZEE,0.33512,0.66488,309.996,14.431,607.979,0.053,0.002,0.001,0.004,16,12,2022 row per 0,1,14431000,-9.091831386888963,11702.911969009034
R32,R1234ZEE,0.33512,0.66488,314.992,17.641,615.701,0.05,0.001,0.0,0.003,16,12,2022 row per 0,1,17641000,-9.1943252013618,11716.166525798948
R32,R1234ZEE,0.33512,0.66488,320.001,20.839,623.129,0.049,0.001,0.002,0.01,16,12,2022 row per 0,1,20839000,-9.296218701297152,11727.257386032245
R32,R1234ZEE,0.33512,0.66488,325.007,24.023,630.324,0.047,0.001,0.0,0.003,16,12,2022 row per 0,1,24023000,-9.39717445572564,11736.911561296756
R32,R1234ZEE,0.33512,0.66488,329.998,27.181,637.279,0.046,0.001,0.001,0.003,16,12,2022 row per 0,1,27181000,-9.496945816601306,11745.15391342178
R32,R1234ZEE,0.33512,0.66488,335.002,30.314,643.915,0.045,0.001,0.003,0.022,16,12,2022 row per 0,1,30314000,-9.596083724309942,11751.522735248196
R32,R1234ZEE,0.33512,0.66488,340.006,33.455,650.495,0.044,0.002,0.002,0.007,16,12,2022 row per 0,1,33455000,-9.69431800411768,11757.948994268725
R32,R1234ZEE,0.33512,0.66488,345.012,36.542,656.764,0.043,0.001,0.003,0.02,16,12,2022 row per 0,1,36542000,-9.791678519479888,11761.931550789735
R32,R1234ZEE,0.33512,0.66488,294.991,1.376,548.101,0.072,0.001,0.002,0.026,16,12,2022 row per 0,1,1376000,-8.778898804792222,11398.086029737793
R32,R1234ZEE,0.33512,0.66488,299.993,4.446,557.261,0.067,0.001,0.001,0.006,14,10,2022 row per 0,1,4446000,-8.884058687017202,11428.078478893938
R32,R1234ZEE,0.33512,0.66488,304.993,7.516,566.077,0.063,0.001,0.001,0.008,16,12,2022 row per 0,1,7516000,-8.988337662964204,11453.18289801814
R32,R1234ZEE,0.33512,0.66488,309.996,10.583,574.544,0.059,0.001,0.001,0.008,16,12,2022 row per 0,1,10583000,-9.091831386888963,11474.387125431718
R32,R1234ZEE,0.33512,0.66488,314.991,13.624,582.572,0.056,0.001,0.003,0.023,15,11,2022 row per 0,1,13624000,-9.194304772293377,11491.62775518194
R32,R1234ZEE,0.33512,0.66488,320.001,16.668,590.371,0.054,0.001,0.003,0.031,16,12,2022 row per 0,1,16668000,-9.296218701297152,11506.670006578115
R32,R1234ZEE,0.33512,0.66488,325.007,19.707,597.946,0.052,0.001,0.003,0.019,16,12,2022 row per 0,1,19707000,-9.39717445572564,11520.105012324508
R32,R1234ZEE,0.33512,0.66488,329.998,22.721,605.232,0.05,0.001,0.002,0.02,15,11,2022 row per 0,1,22721000,-9.496945816601306,11531.537914718425
R32,R1234ZEE,0.33512,0.66488,335.002,25.717,612.219,0.048,0.001,0.001,0.009,16,12,2022 row per 0,1,25717000,-9.596083724309942,11540.876820861238
R32,R1234ZEE,0.33512,0.66488,340.007,28.711,619.061,0.047,0.003,0.001,0.005,16,12,2022 row per 0,1,28711000,-9.694337544364414,11549.497903915597
R32,R1234ZEE,0.33512,0.66488,345.013,31.692,625.727,0.046,0.002,0.002,0.01,16,12,2022 row per 0,1,31692000,-9.791697876443507,11557.02373204296
R32,R1234ZEE,0.33512,0.66488,299.993,1.508,524.358,0.079,0.001,0.002,0.017,16,12,2022 row per 0,1,1508000,-8.884058687017202,11182.214238914068
R32,R1234ZEE,0.33512,0.66488,304.992,4.411,533.672,0.073,0.001,0.003,0.03,15,11,2022 row per 0,1,4411000,-8.988316891570348,11216.253533245597
R32,R1234ZEE,0.33512,0.66488,309.996,7.314,542.533,0.068,0.001,0.001,0.014,15,11,2022 row per 0,1,7314000,-9.091831386888963,11244.152883763241
R32,R1234ZEE,0.33512,0.66488,314.991,10.207,551.021,0.064,0.002,0.002,0.023,16,12,2022 row per 0,1,10207000,-9.194304772293377,11267.461287841596
R32,R1234ZEE,0.33512,0.66488,320.001,13.092,559.106,0.06,0.001,0.005,0.043,14,10,2022 row per 0,1,13092000,-9.296218701297152,11286.647565395746
R32,R1234ZEE,0.33512,0.66488,325.006,15.956,566.771,0.058,0.002,0.006,0.045,15,11,2022 row per 0,1,15956000,-9.397154376925684,11302.459000048197
R32,R1234ZEE,0.33512,0.66488,329.998,18.811,574.245,0.055,0.002,0.005,0.04,16,12,2022 row per 0,1,18811000,-9.496945816601306,11316.529147184023
R32,R1234ZEE,0.33512,0.66488,335.002,21.643,581.299,0.053,0.001,0.006,0.042,16,12,2022 row per 0,1,21643000,-9.596083724309942,11327.68082020344
R32,R1234ZEE,0.33512,0.66488,340.007,24.476,588.255,0.051,0.001,0.004,0.03,16,12,2022 row per 0,1,24476000,-9.694337544364414,11337.9786499394
R32,R1234ZEE,0.33512,0.66488,345.012,27.3,595.037,0.049,0.0,0.006,0.044,16,12,2022 row per 0,1,27300000,-9.791678519479888,11347.0930631861
R32,R1234ZEE,0.33512,0.66488,304.991,1.951,504.426,0.085,0.001,0.0,0.009,16,12,2022 row per 0,1,1951000,-8.988296120142609,10987.989741129746
R32,R1234ZEE,0.33512,0.66488,309.994,4.739,514.093,0.078,0.001,0.002,0.02,13,9,2022 row per 0,1,4739000,-9.091790184831934,11027.78633021775
R32,R1234ZEE,0.33512,0.66488,314.99,7.53,523.367,0.072,0.002,0.003,0.014,11,8,2022 row per 0,1,7530000,-9.19428434319036,11060.945640111886
R32,R1234ZEE,0.33512,0.66488,320.0,10.316,532.125,0.068,0.001,0.002,0.015,15,11,2022 row per 0,1,10316000,-9.296198446474829,11088.042215642066
R32,R1234ZEE,0.33512,0.66488,325.007,13.104,540.556,0.064,0.004,0.005,0.037,13,9,2022 row per 0,1,13104000,-9.39717445572564,11111.706107930955
R32,R1234ZEE,0.33512,0.66488,329.998,15.885,548.723,0.06,0.001,0.002,0.017,16,12,2022 row per 0,1,15885000,-9.496945816601306,11132.58891903997
R32,R1234ZEE,0.33512,0.66488,335.002,18.618,556.18,0.058,0.002,0.004,0.03,16,12,2022 row per 0,1,18618000,-9.596083724309942,11147.793437369977
R32,R1234ZEE,0.33512,0.66488,340.006,21.367,563.58,0.055,0.002,0.001,0.006,14,10,2022 row per 0,1,21367000,-9.69431800411768,11162.52583784533
R32,R1234ZEE,0.33512,0.66488,345.012,24.108,570.772,0.053,0.0,0.0,0.003,16,12,2022 row per 0,1,24108000,-9.791678519479888,11175.486198444776
R32,R1234ZEE,0.33512,0.66488,309.993,2.171,481.636,0.094,0.003,0.001,0.003,14,10,2022 row per 0,1,2171000,-9.091769583752072,10762.926790663834
R32,R1234ZEE,0.33512,0.66488,314.989,4.808,491.538,0.085,0.001,0.0,0.004,11,7,2022 row per 0,1,4808000,-9.194263914052739,10808.707742525516
R32,R1234ZEE,0.33512,0.66488,319.999,7.456,500.938,0.079,0.001,0.001,0.01,15,11,2022 row per 0,1,7456000,-9.29617819161753,10846.226671411427
R32,R1234ZEE,0.33512,0.66488,325.005,10.095,509.812,0.073,0.001,0.0,0.004,15,11,2022 row per 0,1,10095000,-9.39713429809038,10877.00648244329
R32,R1234ZEE,0.33512,0.66488,329.997,12.723,518.279,0.069,0.001,0.001,0.005,14,10,2022 row per 0,1,12723000,-9.496925915166187,10903.04556260981
R32,R1234ZEE,0.33512,0.66488,335.001,15.337,526.216,0.065,0.001,0.001,0.014,16,12,2022 row per 0,1,15337000,-9.59606400254988,10924.362484364396
R32,R1234ZEE,0.33512,0.66488,340.007,17.958,534.004,0.062,0.001,0.001,0.008,13,9,2022 row per 0,1,17958000,-9.694337544364414,10943.70675861947
R32,R1234ZEE,0.33512,0.66488,345.013,20.572,541.531,0.059,0.001,0.0,0.001,16,12,2022 row per 0,1,20572000,-9.791697876443507,10960.632883423297
R32,R1234ZEE,0.33512,0.66488,314.988,2.395,458.872,0.104,0.002,0.0,0.002,15,11,2022 row per 0,1,2395000,-9.194243484880523,10526.921929858388
R32,R1234ZEE,0.33512,0.66488,319.999,4.898,469.031,0.094,0.002,0.001,0.014,15,10,2022 row per 0,1,4898000,-9.29617819161753,10580.517027530279
R32,R1234ZEE,0.33512,0.66488,325.005,7.401,478.575,0.086,0.001,0.001,0.008,14,10,2022 row per 0,1,7401000,-9.39713429809038,10623.512348920443
R32,R1234ZEE,0.33512,0.66488,329.997,9.901,487.664,0.08,0.001,0.001,0.013,12,8,2022 row per 0,1,9901000,-9.496925915166187,10659.3933585446
R32,R1234ZEE,0.33512,0.66488,335.001,12.386,496.135,0.075,0.001,0.001,0.013,11,7,2022 row per 0,1,12386000,-9.59606400254988,10688.127075063358
R32,R1234ZEE,0.33512,0.66488,340.007,14.877,504.345,0.07,0.002,0.001,0.006,16,12,2022 row per 0,1,14877000,-9.694337544364414,10713.467340768888
R32,R1234ZEE,0.33512,0.66488,345.013,17.368,512.273,0.066,0.001,0.001,0.006,13,9,2022 row per 0,1,17368000,-9.791697876443507,10735.790581383144
R32,R1234ZEE,0.33512,0.66488,319.998,2.619,435.796,0.117,0.002,0.001,0.013,9,6,2022 row per 0,1,2619000,-9.296157936725256,10275.92970375435
R32,R1234ZEE,0.33512,0.66488,325.005,4.973,446.116,0.105,0.002,0.001,0.012,12,8,2022 row per 0,1,4973000,-9.39713429809038,10338.32402012059
R32,R1234ZEE,0.33512,0.66488,329.997,7.323,455.764,0.096,0.001,0.001,0.007,12,8,2022 row per 0,1,7323000,-9.496925915166187,10387.452558706756
R32,R1234ZEE,0.33512,0.66488,335.001,9.66,464.645,0.088,0.001,0.001,0.02,15,11,2022 row per 0,1,9660000,-9.59606400254988,10425.701570581483
R32,R1234ZEE,0.33512,0.66488,340.006,12.009,473.268,0.082,0.001,0.002,0.021,10,7,2022 row per 0,1,12009000,-9.69431800411768,10459.014433687591
R32,R1234ZEE,0.33512,0.66488,345.013,14.355,481.513,0.077,0.002,0.002,0.018,16,12,2022 row per 0,1,14355000,-9.791697876443507,10487.289097163959
R32,R1234ZEE,0.33512,0.66488,325.004,2.675,409.557,0.136,0.001,0.0,0.004,8,5,2022 row per 0,1,2675000,-9.397114219219725,9976.293359519424
R32,R1234ZEE,0.33512,0.66488,329.996,4.874,420.26,0.121,0.001,0.001,0.013,11,8,2022 row per 0,1,4874000,-9.496906013695343,10054.577048017216
R32,R1234ZEE,0.33512,0.66488,335.001,7.068,430.015,0.109,0.001,0.001,0.02,10,6,2022 row per 0,1,7068000,-9.59606400254988,10112.655218478125
R32,R1234ZEE,0.33512,0.66488,340.007,9.269,439.294,0.1,0.002,0.001,0.016,16,12,2022 row per 0,1,9269000,-9.694337544364414,10159.904883534628
R32,R1234ZEE,0.33512,0.66488,345.012,11.473,448.129,0.092,0.001,0.0,0.004,8,4,2022 row per 0,1,11473000,-9.791678519479888,10199.356514793937
R32,R1234ZEE,0.33512,0.66488,329.996,3.082,389.199,0.153,0.001,0.0,0.013,11,7,2022 row per 0,1,3082000,-9.496906013695343,9721.674873192922
R32,R1234ZEE,0.33512,0.66488,335.0,5.144,399.838,0.135,0.001,0.001,0.019,5,3,2022 row per 0,1,5144000,-9.596044280753734,9809.997108521127
R32,R1234ZEE,0.33512,0.66488,340.007,7.223,409.885,0.121,0.002,0.001,0.015,7,4,2022 row per 0,1,7223000,-9.694337544364414,9877.965696236317
R32,R1234ZEE,0.33512,0.66488,345.012,9.306,419.341,0.11,0.001,0.001,0.009,14,10,2022 row per 0,1,9306000,-9.791678519479888,9932.054164019282
R32,R1234ZEE,0.33512,0.66488,334.999,3.309,365.261,0.178,0.002,0.003,0.024,7,4,2022 row per 0,1,3309000,-9.596024558921497,9404.949232556379
R32,R1234ZEE,0.33512,0.66488,340.005,5.232,376.193,0.155,0.002,0.001,0.02,8,5,2022 row per 0,1,5232000,-9.694298463834503,9515.018398694661
R32,R1234ZEE,0.33512,0.66488,345.012,7.167,386.343,0.138,0.0,0.002,0.036,15,11,2022 row per 0,1,7167000,-9.791678519479888,9595.32131294789
R32,R1234ZEE,0.33512,0.66488,340.006,3.461,339.171,0.214,0.002,0.0,0.013,12,8,2022 row per 0,1,3461000,-9.69431800411768,9023.521053524775
R32,R1234ZEE,0.33512,0.66488,345.012,5.252,350.679,0.184,0.001,0.0,0.003,13,9,2022 row per 0,1,5252000,-9.791678519479888,9174.083371473038
R32,R1234ZEE,0.33512,0.66488,345.012,4.012,322.414,0.238,0.0,0.0,0.002,8,6,2022 row per 0,1,4012000,-9.791678519479888,8758.422445778539
R32,R1234ZEE,0.66665,0.33335,229.997,0.21,878.77,0.038,0.004,0.0,0.002,16,12,2022 row per 0,4,210000,-5.477927292573023,17050.954518535644
R32,R1234ZEE,0.66665,0.33335,235.008,1.151,859.152,0.038,0.001,0.001,0.024,16,12,2022 row per 0,4,1151000,-5.553612411867249,16883.51162628287
R32,R1234ZEE,0.66665,0.33335,240.002,1.212,834.555,0.039,0.001,0.001,0.03,16,12,2022 row per 0,4,1212000,-5.62913540436508,16683.11742355763
R32,R1234ZEE,0.66665,0.33335,245.002,1.223,809.607,0.041,0.001,0.0,0.066,16,12,2022 row per 0,1,1223000,-5.704835219372339,16476.20446039755
R32,R1234ZEE,0.66665,0.33335,250.004,1.249,784.6,0.042,0.001,0.001,0.016,16,12,2022 row per 0,1,1249000,-5.780642158828276,16264.948086744997
R32,R1234ZEE,0.66665,0.33335,254.994,1.282,759.653,0.044,0.001,0.001,0.004,16,12,2022 row per 0,1,1282000,-5.856333303112649,16049.239028352737
R32,R1234ZEE,0.66665,0.33335,259.987,1.315,734.614,0.046,0.001,0.003,0.025,16,12,2022 row per 0,1,1315000,-5.932124008134662,15827.599215943479
R32,R1234ZEE,0.66665,0.33335,259.986,1.263,734.336,0.046,0.001,0.001,0.02,16,12,2022 row per 0,1,1263000,-5.932108824210657,15824.978807102969
R32,R1234ZEE,0.66665,0.33335,269.992,6.428,724.122,0.045,0.002,0.001,0.007,16,12,2022 row per 0,1,6428000,-6.0841000414502915,15644.478865599436
R32,R1234ZEE,0.66665,0.33335,274.995,10.528,730.973,0.044,0.001,0.001,0.005,16,12,2022 row per 0,1,10528000,-6.160116207609412,15636.738352288457
R32,R1234ZEE,0.66665,0.33335,279.999,14.625,737.782,0.043,0.001,0.003,0.016,16,12,2022 row per 0,1,14625000,-6.23613675126299,15629.429543201908
R32,R1234ZEE,0.66665,0.33335,285.0,18.715,744.535,0.042,0.001,0.001,0.007,16,12,2022 row per 0,1,18715000,-6.312080617256302,15622.588868823375
R32,R1234ZEE,0.66665,0.33335,290.002,22.798,751.217,0.041,0.001,0.001,0.006,16,12,2022 row per 0,1,22798000,-6.387986926954066,15616.101182049719
R32,R1234ZEE,0.66665,0.33335,294.997,26.844,757.674,0.04,0.002,0.001,0.002,16,12,2022 row per 0,1,26844000,-6.463711628893409,15609.017565457403
R32,R1234ZEE,0.66665,0.33335,299.998,30.895,764.121,0.039,0.002,0.001,0.003,16,12,2022 row per 0,1,30895000,-6.539428092816798,15602.704178784788
R32,R1234ZEE,0.66665,0.33335,304.998,34.921,770.417,0.039,0.001,0.002,0.009,16,12,2022 row per 0,1,34921000,-6.615005689665016,15596.177241552
R32,R1234ZEE,0.66665,0.33335,309.998,38.885,776.367,0.038,0.002,0.005,0.028,16,12,2022 row per 0,1,38885000,-6.690434512486846,15588.0467326297
R32,R1234ZEE,0.66665,0.33335,314.995,42.848,782.309,0.038,0.001,0.001,0.004,16,12,2022 row per 0,1,42848000,-6.765644053090011,15580.815300389775
R32,R1234ZEE,0.66665,0.33335,320.003,46.798,788.155,0.037,0.001,0.002,0.011,16,12,2022 row per 0,1,46798000,-6.84081896942132,15573.57366704051
R32,R1234ZEE,0.66665,0.33335,325.009,50.714,793.837,0.037,0.001,0.001,0.007,16,12,2022 row per 0,1,50714000,-6.91573793924439,15565.97716692886
R32,R1234ZEE,0.66665,0.33335,269.988,1.723,686.992,0.051,0.003,0.0,0.005,16,12,2022 row per 0,1,1723000,-6.084039265779092,15384.08164093116
R32,R1234ZEE,0.66665,0.33335,274.991,5.607,694.024,0.048,0.003,0.001,0.009,16,12,2022 row per 0,1,5607000,-6.160055432852083,15377.23754003565
R32,R1234ZEE,0.66665,0.33335,279.996,9.504,701.108,0.046,0.001,0.003,0.022,16,12,2022 row per 0,1,9504000,-6.236091182623607,15371.333142828542
R32,R1234ZEE,0.66665,0.33335,284.998,13.382,708.028,0.045,0.002,0.005,0.035,16,12,2022 row per 0,1,13382000,-6.31205025483991,15364.977439288823
R32,R1234ZEE,0.66665,0.33335,290.0,17.27,714.958,0.044,0.001,0.004,0.026,16,12,2022 row per 0,1,17270000,-6.387956590113822,15359.681722247662
R32,R1234ZEE,0.66665,0.33335,294.996,21.144,721.765,0.042,0.001,0.006,0.029,16,12,2022 row per 0,1,21144000,-6.46369647789806,15354.499720143973
R32,R1234ZEE,0.66665,0.33335,299.997,25.017,728.516,0.042,0.001,0.003,0.017,16,12,2022 row per 0,1,25017000,-6.539412964095983,15349.68560867166
R32,R1234ZEE,0.66665,0.33335,304.996,28.855,735.014,0.041,0.001,0.003,0.018,16,12,2022 row per 0,1,28855000,-6.614975486684194,15343.997655971678
R32,R1234ZEE,0.66665,0.33335,309.998,32.68,741.387,0.04,0.001,0.003,0.017,16,12,2022 row per 0,1,32680000,-6.690434512486846,15338.337467873063
R32,R1234ZEE,0.66665,0.33335,314.994,36.481,747.618,0.039,0.001,0.003,0.016,16,12,2022 row per 0,1,36481000,-6.765629021257655,15332.571709939073
R32,R1234ZEE,0.66665,0.33335,320.003,40.271,753.722,0.039,0.003,0.002,0.012,16,12,2022 row per 0,1,40271000,-6.84081896942132,15326.6547037922
R32,R1234ZEE,0.66665,0.33335,325.008,44.039,759.701,0.038,0.002,0.001,0.003,16,12,2022 row per 0,1,44039000,-6.915722997665464,15320.70921401713
R32,R1234ZEE,0.66665,0.33335,329.999,47.788,765.599,0.038,0.001,0.002,0.01,16,12,2022 row per 0,1,47788000,-6.990167346791499,15315.154525823855
R32,R1234ZEE,0.66665,0.33335,335.002,51.486,771.202,0.037,0.003,0.002,0.01,16,12,2022 row per 0,1,51486000,-7.064514956688839,15308.04900752217
R32,R1234ZEE,0.66665,0.33335,274.989,1.694,660.936,0.054,0.003,0.004,0.035,16,12,2022 row per 0,1,1694000,-6.160025045470861,15138.037469894765
R32,R1234ZEE,0.66665,0.33335,279.994,5.413,668.303,0.051,0.001,0.0,0.003,16,12,2022 row per 0,1,5413000,-6.236060803524495,15133.99011582103
R32,R1234ZEE,0.66665,0.33335,284.997,9.157,675.806,0.049,0.001,0.001,0.006,16,12,2022 row per 0,1,9157000,-6.312035073628559,15131.496494823927
R32,R1234ZEE,0.66665,0.33335,289.999,12.9,683.201,0.047,0.001,0.001,0.004,16,12,2022 row per 0,1,12900000,-6.387941421689176,15129.039175435773
R32,R1234ZEE,0.66665,0.33335,294.996,16.632,690.43,0.046,0.002,0.0,0.003,16,12,2022 row per 0,1,16632000,-6.46369647789806,15126.390732873724
R32,R1234ZEE,0.66665,0.33335,299.995,20.364,697.554,0.044,0.002,0.0,0.004,16,12,2022 row per 0,1,20364000,-6.539382706639512,15123.979045342363
R32,R1234ZEE,0.66665,0.33335,304.993,24.062,704.403,0.043,0.004,0.01,0.061,16,12,2022 row per 0,1,24062000,-6.61493018216834,15120.289508883572
R32,R1234ZEE,0.66665,0.33335,309.998,27.739,711.012,0.042,0.002,0.001,0.006,16,12,2022 row per 0,1,27739000,-6.690434512486846,15115.859800991268
R32,R1234ZEE,0.66665,0.33335,314.992,31.418,717.615,0.041,0.002,0.001,0.005,16,12,2022 row per 0,1,31418000,-6.765598957568977,15112.48915004835
R32,R1234ZEE,0.66665,0.33335,320.003,35.087,724.07,0.04,0.002,0.002,0.009,16,12,2022 row per 0,1,35087000,-6.84081896942132,15108.639745181505
